gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score
fn1a	20	1	4	15	3	0.0654321870381799	0.946394630357186	0.20497295487482625
pcdh8	20	5	1	14	1	0.0056862176629150244	0.0	0.003941385741099711
sox19a	20	4	0	16	0	0.0	0.0	0.0
zic2b	20	3	5	12	3	0.04640081855245187	0.9602297178607612	0.16297174633930617
lbx2	20	4	1	15	1	0.00787741311821842	0.0	0.005460206692999024
myclb	20	2	1	17	1	0.010271234147951	0.0	0.007119476990523267
gli2a	20	3	6	11	4	0.06400174174940194	0.8649735207179272	0.2322668586398764
grhl2b	20	1	6	13	3	0.04205831847157198	0.7219280948873623	0.14092553765782062
her7	20	6	0	14	0	0.0	0.0	0.0
dact2	20	1	1	18	1	0.014612255867379766	0.0	0.010128443956094803
myod1	20	8	2	10	1	0.01815587499950241	0.0	0.01994626738597546
bambia	20	3	7	10	3	0.1395647941212585	0.8649735207179272	0.5412467044321715
tagln2	20	1	0	19	0	0.0	0.0	0.0
cdh1	20	3	0	17	0	0.0	0.0	0.0
six4a	20	3	0	17	0	0.0	0.0	0.0
zeb2b	20	4	0	16	0	0.0	0.0	0.0
clic4	20	2	5	13	2	0.1325821362994119	0.9709505944546688	0.46820975613407595
mef2d	20	3	1	16	1	0.006063174782550452	0.0	0.004202672505767005
fscn1a	20	1	3	16	3	0.02415806940282898	0.9999999999999998	0.06698039077736954
jcada	20	2	4	14	2	0.054824850817199094	0.8112781244591328	0.1598220982573785
efnb2b	20	2	7	11	3	0.07985403167217597	0.7219280948873623	0.28592924366389627
sp8b	20	2	7	11	2	0.06701247541514958	0.9709505944546688	0.2746490585577607
irx1b	20	2	6	12	3	0.06414966050852415	0.8649735207179272	0.23280366630442006
vgll4l	20	4	2	14	1	0.015628326084225243	0.0	0.017169471087442212
snai1a	20	2	0	18	0	0.0	0.0	0.0
rasgef1ba	20	4	1	15	1	0.010518404486622106	0.0	0.007290802413891191
itga6a	20	0	5	15	3	0.05649302095639826	0.9602297178607612	0.19841818675762884
tbxta	20	4	3	13	2	0.029099999392572348	0.9182958340544894	0.07738628888800078
tshz3b	20	1	1	18	1	0.009795092476657566	0.0	0.006789440733519124
pcdh10b	20	2	7	11	2	0.1838646470797517	0.0	0.3823357851839378
pbx4	20	2	2	16	2	0.022124297541380178	1.0	0.04861205031421982
rab11fip4a	20	3	0	17	0	0.0	0.0	0.0
sp5l	20	2	0	18	0	0.0	0.0	0.0
zbtb18	20	1	6	13	1	0.055294831067784475	0.0	0.10759877296510086
nrarpa	20	4	3	13	2	0.036950867340529804	0.9182958340544894	0.09826428021872419
klf3	20	0	3	17	2	0.0323673664585008	0.9182958340544894	0.08607527228817287
tbx16l	20	4	1	15	1	0.005971398315349448	0.0	0.004139057906284877
tcf7l1b	20	0	5	15	2	0.09345039587435781	0.7219280948873623	0.2883207279688431
mcm3	20	1	0	19	0	0.0	0.0	0.0
atp2b1a	20	1	3	16	1	0.02731622676648672	0.0	0.03786833113345276
xbp1	20	1	9	10	3	0.1527178530372752	0.9709505944546688	0.6930766007170043
zswim5	20	1	2	17	1	0.018555991774783655	0.0	0.020385840592201693
aldob	20	0	6	14	1	0.09569049473398115	0.0	0.18620510487097794
gata5	20	5	6	9	2	0.10990437629323914	0.7219280948873623	0.3682585011224598
meis1b	20	1	8	11	2	0.11635021918717621	0.9709505944546688	0.5038687126717479
arl4d	20	1	1	18	1	0.0052444734821690655	0.0	0.003635192007686886
gata6	20	4	4	12	2	0.029957100284626302	0.8112781244591328	0.08732913184131648
tcf7l1a	20	0	10	10	3	0.16520745654696112	0.7219280948873623	0.6821421231611219
unc5b	20	1	4	15	1	0.11518480443762513	0.0	0.18538279119822149
etv4	20	1	1	18	1	0.009072476281386042	0.0	0.006288561355139712
