gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score
her8a	20	3	0	17	0	0.0	0.0	0.0
ism1	20	3	1	16	1	0.005313781294140303	0.0	0.0036832325221455285
tbxtb	20	1	3	16	1	0.03634314008782799	0.0	0.050382290169146186
pax3a	20	2	2	16	2	0.016950381822327644	1.0	0.037243795535251395
gli1	20	0	5	15	2	0.0778191783506333	0.9709505944546688	0.274816046377628
msx1b	20	2	4	14	2	0.03234609562400194	0.8112781244591328	0.09429338695874824
fgf8a	20	2	1	17	1	0.01221729270652573	0.0	0.008468381993603892
ets2	20	2	0	18	0	0.0	0.0	0.0
cdx1a	20	2	0	18	0	0.0	0.0	0.0
tbx6	20	5	0	15	0	0.0	0.0	0.0
creb3l2	20	0	5	15	2	0.05835436586844536	0.9709505944546688	0.20607665689532748
zic3	20	0	13	7	3	0.18751577659801882	0.7219280948873623	0.8521217480511659
six7	20	4	0	16	0	0.0	0.0	0.0
tcf3b	20	1	2	17	1	0.01732435280072818	0.0	0.019032746880101762
aplnra	20	0	9	11	4	0.2114792638022896	0.9602297178607612	0.954531901487325
otx2a	20	1	3	16	2	0.020074595011615327	0.9182958340544894	0.053384826161714874
cfl1l	20	1	0	19	0	0.0	0.0	0.0
znf185	20	2	1	17	1	0.00735960257124194	0.0	0.005101287772298075
ephb3a	20	0	6	14	2	0.08002393315316306	0.9709505944546688	0.3069152118520462
msgn1	20	5	1	14	1	0.006033336922721262	0.0	0.004181990477352459
bmp4	20	1	3	16	1	0.04744658348686897	0.0	0.06577493114225057
fzd8a	20	2	8	10	2	0.09421837825428371	0.0	0.20701893633707258
epha2a	20	0	3	17	2	0.02702869006682889	0.9182958340544894	0.07187800898407382
fezf2	20	7	3	10	2	0.03702708289083829	0.9182958340544894	0.09846696196157795
skia	20	0	1	19	1	0.007053496160077224	0.0	0.004889110976447929
tcf7	20	3	0	17	0	0.0	0.0	0.0
nsd2	20	1	0	19	0	0.0	0.0	0.0
flrt3	20	1	0	19	0	0.0	0.0	0.0
bmp2b	20	2	1	17	1	0.00604024368104518	0.0	0.0041867778774114925
fzd7a	20	0	4	16	2	0.03459371220990157	0.8112781244591328	0.100845503261523
irx7	20	0	3	17	1	0.04102979445426955	0.0	0.05687937268986203
spon1b	20	1	3	16	2	0.064471999635831	0.9182958340544894	0.17145185199828503
six3b	20	1	2	17	1	0.018069159763294478	0.0	0.019851000961862666
foxa3	20	5	7	8	3	0.13686088303938265	0.9709505944546688	0.5609211187511589
prdm1a	20	0	6	14	2	0.22825052527360135	0.9709505944546688	0.8754075881974969
her6	20	3	1	16	1	0.0057428415473809065	0.0	0.003980634426969588
raraa	20	1	1	18	1	0.011256794985617208	0.0	0.007802615706421897
mab21l2	20	8	2	10	2	0.013720787648775455	1.0	0.03014765184230067
rfx2	20	0	1	19	1	0.005308299094242019	0.0	0.003679432550742767
efemp2b	20	3	1	16	1	0.005143720178126006	0.0	0.003565355139057341
nop58	20	1	3	16	1	0.11317374425395012	0.0	0.15689212348607567
meis3	20	2	0	18	0	0.0	0.0	0.0
id3	20	1	7	12	4	0.09650486015774053	0.8649735207179272	0.3742558275597994
apoc1	20	0	0	20	0	0.0	0.0	0.0
ctcf	20	0	0	20	0	0.0	0.0	0.0
perp	20	5	0	15	0	0.0	0.0	0.0
sox11b	20	0	1	19	1	0.015266290057241994	0.0	0.010581785910787614
rnd1b	20	1	0	19	0	0.0	0.0	0.0
tuba1a	20	1	0	19	0	0.0	0.0	0.0
lima1a	20	1	3	16	1	0.04180231726536662	0.0	0.05795031670672239
