gene	n_thresholds	best_rank	median_rank	mean_mixed_score	max_domains	max_core	max_regional	min_core	min_regional	consensus_rank
gata2a	2	58	58.0	0.14048154281396233	2	4	2	4	2	134
smtnl	2	56	62.0	0.07888515895857846	2	3	5	1	3	135
epha2a	2	59	63.5	0.06791487761831415	2	4	3	1	2	136
tbxta	2	59	65.0	0.11199691300997838	2	5	3	4	2	137
stox1	2	71	79.5	0.0373120947327116	2	1	2	1	2	138
tfap2c	2	47	80.5	0.094012778793818	2	9	5	3	1	139
olig4	2	82	87.0	0.03939210695104163	1	4	2	1	1	140
itga6a	2	56	88.0	0.08528120605772277	3	5	4	1	1	141
mycn	2	68	88.5	0.04382522130524289	2	12	2	10	1	142
klf3	2	89	93.5	0.025856045148543456	1	6	2	3	1	143
tlcd5a	2	86	95.0	0.018793165551101436	1	4	2	2	2	144
meis2a	2	90	97.5	0.01675775668362307	1	5	1	4	1	145
sox2	2	100	102.0	0.014999725593089087	1	11	1	8	1	146
krt4	2	103	107.0	0.011585710811893964	1	17	1	16	1	147
vgll4l	2	90	108.5	0.01907189665168775	1	5	2	4	1	148
lmnb1	2	92	110.5	0.018906257443451407	1	2	2	1	1	149
six3b	2	94	114.0	0.013788538058775324	1	2	2	1	1	150
dld	2	113	115.5	0.00877573946731934	1	9	1	7	1	151
znf185	2	120	121.5	0.0076410462080798	1	3	1	2	1	152
mef2d	2	121	123.0	0.0074709817732267255	1	5	1	3	1	153
gbx1	2	118	124.5	0.009031574733936247	1	4	1	2	1	154
fn1b	2	124	125.5	0.007002493781633043	1	7	1	4	1	155
ism1	2	128	129.0	0.005927934061451282	1	3	1	3	1	156
her12	2	139	142.5	0.00449688116268767	1	1	1	1	1	157
creb3l1	1	13	13.0	0.34583395547738915	3	1	5	1	5	158
rxraa	1	14	14.0	0.3456807663571812	3	2	6	2	6	159
akap12b	1	25	25.0	0.18688315274880443	1	2	5	2	5	160
ndr2	1	46	46.0	0.08700845880725103	2	2	3	2	3	161
vrtn	1	52	52.0	0.06586012598639245	2	1	2	1	2	162
efna1a	1	58	58.0	0.05689891655053934	1	1	3	1	3	163
foxc1b	1	63	63.0	0.10322016407273456	2	6	2	6	2	164
tbx1	1	72	72.0	0.03306925284249379	1	3	1	3	1	165
foxi1	1	73	73.0	0.061284439262261944	2	4	2	4	2	166
