gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score	core_threshold	mixed_complexity_score	threshold_rank
tbx16	20	11	3	6	2	0.2149165797120206	0.9182958340544894	0.5715325385422729	0.3	1.465952017502364	1
aplnra	20	1	8	11	4	0.18136788965916611	0.8649735207179272	0.7432031093107426	0.3	0.8164920688651304	2
dbx1a	20	2	6	12	2	0.1521414211393201	0.9709505944546688	0.5835068917579209	0.3	0.8089123137186002	3
gata5	20	6	5	9	2	0.1089086245610096	0.9709505944546688	0.38460747405255175	0.3	0.7997687587854256	4
foxa3	20	6	6	8	3	0.09241172367884229	0.9709505944546688	0.3544260152299646	0.3	0.7370081795212385	5
xbp1	20	3	7	10	3	0.118649340033931	0.7219280948873623	0.42484161847200935	0.3	0.6837562075487152	6
pax6b	20	10	4	6	2	0.0904163448232472	0.8112781244591328	0.2635762748282893	0.3	0.6549624380471657	7
prdm1a	20	2	4	14	2	0.1471469343607468	0.8112781244591328	0.4289538676555356	0.3	0.5946563279114369	8
zgc:174154	14	8	4	2	2	0.07755304562207091	1.0	0.2496336236977847	0.3	0.5748026606366042	9
clic4	20	3	4	13	2	0.11043847418096871	1.0	0.3554877346764511	0.3	0.5721354375935948	10
meis1b	20	1	8	11	2	0.11635021918717599	0.9709505944546688	0.5038687126717469	0.3	0.5535563596165621	11
dlx3b	20	6	8	6	3	0.0678271347913268	0.7219280948873623	0.25662143659905895	0.3	0.5336292757496414	12
pcdh10b	20	2	7	11	2	0.18386464707975148	0.0	0.3823357851839373	0.3	0.5300299430548381	13
efnb2b	20	4	6	10	3	0.07760150559529841	0.8649735207179272	0.28162136588279923	0.3	0.5045977490574443	14
fzd8a	20	4	7	9	2	0.07861411458817481	0.7219280948873623	0.28148953602972393	0.3	0.5043615416698696	15
tram1	20	1	7	12	5	0.1053426701594632	0.9609640474436812	0.4295568702803723	0.3	0.47191645637183016	16
foxo1a	20	2	6	12	1	0.1659741093762388	0.0	0.3229707039156397	0.3	0.4477324656451731	17
lhx1a	20	1	7	12	3	0.113139469489896	0.7219280948873623	0.40511270705261454	0.3	0.44506179826360637	18
id3	20	2	6	12	4	0.0875096818151163	0.8649735207179272	0.317578839890902	0.3	0.440257754951754	19
bambia	20	6	5	9	2	0.0682078398353729	0.7219280948873623	0.21044035020415708	0.3	0.43759840626017693	20
gli2a	20	3	6	11	4	0.0640017417494016	0.8649735207179272	0.23226685863987515	0.3	0.37381908809698694	21
foxc1a	20	6	4	10	4	0.0548275056069742	1.0	0.17648293233611498	0.3	0.36698594089718906	22
pitx2	20	3	7	10	1	0.10785144284995951	0.0	0.2242707705923145	0.3	0.3609498808420817	23
zic2a	20	8	5	7	3	0.043287872391785394	0.8649735207179272	0.1446500602895857	0.3	0.33306907252349005	24
irx1b	20	2	6	12	3	0.0641496605085239	0.8649735207179272	0.23280366630441915	0.3	0.32273440984585294	25
gli1	20	1	5	14	2	0.0778191783506331	0.9709505944546688	0.2748160463776273	0.3	0.30191628567364653	26
klf2b	20	4	5	11	2	0.042311780752578194	0.9709505944546688	0.1494227586062135	0.3	0.2677296426508609	27
tfap2a	20	8	4	8	1	0.0716823793773813	0.0	0.11536833902344176	0.3	0.2656454176388603	28
sox10	20	4	7	9	1	0.0705926175931495	0.0	0.1467932215591139	0.3	0.26301814474703417	29
