enhancer	domain	baseline_loss	ablated_loss	delta_loss
0	all_test	0.005791494622826576	0.005791494622826576	0.0
0	0	0.004695135168731213	0.004695135168731213	0.0
0	1	0.00725330738350749	0.00725330738350749	0.0
1	all_test	0.005791494622826576	0.20747685432434082	0.20168535970151424
1	0	0.004695135168731213	0.29041793942451477	0.28572280425578356
1	1	0.00725330738350749	0.09688875079154968	0.08963544340804219
2	all_test	0.005791494622826576	0.02475263550877571	0.018961140885949135
2	0	0.004695135168731213	0.032002754509449005	0.027307619340717793
2	1	0.00725330738350749	0.015085816383361816	0.007832508999854326
3	all_test	0.005791494622826576	0.005791494622826576	0.0
3	0	0.004695135168731213	0.004695135168731213	0.0
3	1	0.00725330738350749	0.00725330738350749	0.0
