enhancer	domain	baseline_loss	ablated_loss	delta_loss
0	all_test	0.0016554765170440078	0.14183245599269867	0.14017697947565466
0	0	0.0016554765170440078	0.14183245599269867	0.14017697947565466
1	all_test	0.0016554765170440078	0.001660906826145947	5.430309101939201e-06
1	0	0.0016554765170440078	0.001660906826145947	5.430309101939201e-06
2	all_test	0.0016554765170440078	0.0016554765170440078	0.0
2	0	0.0016554765170440078	0.0016554765170440078	0.0
3	all_test	0.0016554765170440078	0.0016554765170440078	0.0
3	0	0.0016554765170440078	0.0016554765170440078	0.0
