epoch	train_loss	validation_loss
0	0.029476677998900414	0.03100590966641903
1	0.029462585225701332	0.03097779117524624
2	0.029449844732880592	0.03095320239663124
3	0.029438605532050133	0.030932772904634476
4	0.029429156333208084	0.030917098745703697
5	0.029421748593449593	0.03090657852590084
6	0.029416562989354134	0.030901262536644936
7	0.0294136181473732	0.030900482088327408
8	0.029412642121315002	0.03090255707502365
9	0.029412904754281044	0.03090498223900795
10	0.02941332757472992	0.030905678868293762
11	0.029413018375635147	0.030903857201337814
12	0.029411636292934418	0.030899781733751297
13	0.029409291222691536	0.030894242227077484
14	0.02940632589161396	0.030888155102729797
15	0.02940312959253788	0.03088228404521942
16	0.029400037601590157	0.030877158045768738
17	0.0293972659856081	0.030873017385601997
18	0.02939491905272007	0.030869830399751663
19	0.02939298190176487	0.030867377296090126
20	0.02939135953783989	0.030865317210555077
21	0.029389891773462296	0.03086327761411667
22	0.029388422146439552	0.030860932543873787
23	0.02938680909574032	0.03085804544389248
24	0.02938494086265564	0.030854521319270134
25	0.02938278764486313	0.030850373208522797
26	0.029380343854427338	0.03084569051861763
27	0.029377657920122147	0.030840633437037468
28	0.02937478944659233	0.03083537146449089
29	0.02937180921435356	0.030830038711428642
30	0.029368791729211807	0.030824750661849976
31	0.029365766793489456	0.030819514766335487
32	0.029362745583057404	0.030814265832304955
33	0.029359707608819008	0.03080887347459793
34	0.029356585815548897	0.03080316074192524
35	0.0293533094227314	0.030796987935900688
36	0.02934981696307659	0.030790265649557114
37	0.02934606559574604	0.030782995745539665
38	0.029342062771320343	0.030775247141718864
39	0.02933783270418644	0.030767129734158516
40	0.029333416372537613	0.030758734792470932
41	0.029328858479857445	0.030750103294849396
42	0.029324162751436234	0.03074120171368122
43	0.029319316148757935	0.030731942504644394
44	0.029314279556274414	0.03072219155728817
45	0.029308989644050598	0.030711835250258446
46	0.02930338680744171	0.03070080280303955
47	0.02929745428264141	0.030689096078276634
48	0.029291173443198204	0.03067675419151783
49	0.02928457409143448	0.030663829296827316
50	0.02927767112851143	0.03065035492181778
51	0.029270483180880547	0.030636340379714966
52	0.029263000935316086	0.030621714890003204
53	0.029255203902721405	0.030606387183070183
54	0.02924705296754837	0.030590280890464783
55	0.029238509014248848	0.030573371797800064
56	0.02922956645488739	0.03055567294359207
57	0.02922021970152855	0.030537214130163193
58	0.02921047993004322	0.030518000945448875
59	0.029200343415141106	0.030497979372739792
