gene	n_links_raw	n_links_pass_filter	latent_mask_fraction	control_p99	mask_low_center	mask_high_center	note	n_enhancers_retained	median_difference_structure_score	mean_difference_structure_score	top3_mean_difference_structure_score	max_difference_structure_score	std_difference_structure_score	divergent_fraction_top10pct	gene_divergence_score	absolute_divergence_score	rank_eligible	global_divergent_threshold_top10pct	eligible_rank	absolute_rank	rank_eligible_maskgt2pct	absolute_rank_maskgt2pct
CHD7	67	5	0.0003908285565398	0.77923266351223	0.001580458161725	0.4172383638782885		5.0	2.0164329342669367	2.014907192867775	2.02275526535582	2.031530023715184	0.0115381736200605	1.0	1.6622619900457294	2.01896186670249	True	0.8145272979243852	1.0	1.0	False	
PDLIM5	31	6	0.0007816571130797	0.9002832674980163	0.0026690994725591	0.3933713787073533		6.0	1.834997207069256	1.8075163501496525	1.8541802106348664	1.8637619121734397	0.0861959291582275	1.0	1.5475439354864189	1.8426704084955	True	0.8145272979243852	2.0	2.0	False	
LMX1B	76	7	0.0007816571130797	0.6931471824645996	0.0023367653739402	0.4044036523696888		7.0	1.6336430495842076	1.6311992406229596	1.6649746367044578	1.6916361173455057	0.0351908197345294	1.0	1.4197008790097976	1.6461756844323077	True	0.8145272979243852	3.0	3.0	False	
FGFR3	47	21	0.000911933298593	0.6664903610944748	0.0032438531931308	0.394069457394259		21.0	1.495351389289021	1.4681010579419127	1.57132211097911	1.6010633777173775	0.0770011256733128	1.0	1.3409710834603858	1.5257396779650565	True	0.8145272979243852	4.0	4.0	False	
GNAI2	57	12	0.0069046378322042	1.1602158403396603	0.0084610557609513	0.4001682264550971		12.0	1.313767101127565	1.375377287128509	1.6222964661247488	1.795944689515156	0.1752737579502872	1.0	1.281080956982213	1.4371788471264382	True	0.8145272979243852	5.0	5.0	False	
GLIS3	100	40	0.0010422094841063	0.6826907896995544	0.0009845027711486	0.3849689749474884		40.0	1.324521023688512	1.3052520157496912	1.4324193536253456	1.4609909902305092	0.0789600063984625	1.0	1.2379132478817412	1.3676803556632455	True	0.8145272979243852	6.0	6.0	False	
NOTCH2	30	5	0.000911933298593	0.852181648015976	0.0014005516173661	0.2608822760340939		5.0	1.1334218762306711	1.199662432597018	1.3010129290083527	1.427690427095682	0.1583921973935103	1.0	1.1286219827443569	1.200458297341744	True	0.8145272979243852	7.0	7.0	False	
DRGX	49	20	0.002735799895779	1.2996694946289062	0.0018915497692038	0.3685441416490864		20.0	0.9467013017519093	1.0602539167751368	1.5572464144267124	1.6392414986151922	0.272001304033435	0.75	1.030492124307442	1.1909193468218304	True	0.8145272979243852	8.0	8.0	False	
ADCY2	82	15	0.0006513809275664	0.869340922832489	0.0023581990975173	0.378008976269233		15.0	0.9764418707823918	0.9771029432393052	0.9981374820230884	1.0096052880320432	0.0132250123499109	1.0	0.9901111188187288	0.9851201152786704	True	0.8145272979243852	9.0	9.0	False	
MSI2	156	52	0.000911933298593	0.6292339611053467	0.0042725526593693	0.3904257043837799		52.0	0.546868837860413	0.6499510939410718	1.632406927217696	1.8880118570544844	0.3351964152303284	0.25	0.7143492669485891	0.9810840736033262	True	0.8145272979243852	10.0	10.0	False	
PSAT1	33	8	0.0013027618551328	0.6911908084154129	0.0020686520574688	0.3456551401880498		8.0	0.7943530630200348	0.7985983413267366	0.8163453239574517	0.8193179065188102	0.0146042430937474	0.25	0.6093275561973769	0.8031499673950016	True	0.8145272979243852	11.0	11.0	False	
TFF3	47	6	0.0066440854611776	1.7276260912418366	0.0010950768065874	0.3356179149576014		6.0	0.7927683422193263	0.790197301900105	0.7976951155921478	0.7982294548928841	0.0081378579909674	0.0	0.5165311157857675	0.7947390515684549	True	0.8145272979243852	16.0	12.0	False	
SULF2	64	24	0.0032569046378322	2.06330096244812	0.0031453812949686	0.2668393048088393		24.0	0.5135381239417787	0.5771333064750416	1.1320037814141906	1.2322893301953357	0.2231917962495492	0.125	0.5321661949302592	0.7609243869307434	True	0.8145272979243852	12.0	13.0	False	
CSMD1	266	16	0.0028660760812923	1.0383048057556157	0.0048032660012157	0.2983907394375729		16.0	0.7042030647212292	0.705348486199415	0.8039195455998943	0.81196281682242	0.072567862245513	0.0	0.4826611122884653	0.7440896570726951	True	0.8145272979243852	17.0	14.0	False	
THSD4	118	26	0.0037780093798853	1.1480708944797515	0.0020496988756429	0.3326458112200133		26.0	0.718776300625253	0.7304343171361791	0.7786748125417423	0.7817560946484254	0.0326573180904232	0.0	0.4821792233855367	0.7427357053918487	True	0.8145272979243852	18.0	15.0	False	
ZFP36L1	46	13	0.0011724856696195	0.8852793699502944	0.0028647530445664	0.3392693273849593		13.0	0.7054989144607586	0.7022775314073615	0.7293228776444836	0.7381183088572348	0.0208073625446499	0.0	0.4645302851954243	0.7150284997342486	True	0.8145272979243852	19.0	16.0	False	
SPP1	28	5	0.0112037519541427	1.4677719175815582	0.0040730399304871	0.2634599696012707		5.0	0.6823122444082125	0.5904411679345758	0.7489612458650035	0.8755386537826146	0.2085189303030256	0.2	0.5301652092295359	0.7089718449909288	True	0.8145272979243852	13.0	17.0	False	
COLEC12	61	5	0.0006513809275664	0.8860987949371337	0.0007543237223636	0.2873075336021846		5.0	0.6703686768420439	0.699091144703992	0.7424522752255394	0.8241231467998217	0.0722182816599877	0.2	0.5237605395432025	0.699202116195442	True	0.8145272979243852	14.0	18.0	False	
ARHGAP36	22	5	0.0032569046378322	1.8177902126312253	0.0016357054863089	0.3389706137812754		5.0	0.6553072298866004	0.6574178055470894	0.6646639849931539	0.6695478806007784	0.010443635356216	0.0	0.4282888882029286	0.6590499319292218	True	0.8145272979243852	21.0	19.0	False	
GSN	44	7	0.0026055237102657	0.8541339421272275	0.0033368693498816	0.3770281665601218		7.0	0.5698463536231293	0.6439605469531181	0.7663109462915935	0.8684685403268263	0.1305037252769685	0.2857142857142857	0.5195162780221501	0.6484321906905149	True	0.8145272979243852	15.0	20.0	False	
NPAS3	149	36	0.0031266284523189	1.2557933330535886	0.004912108458289	0.3341770511697975		36.0	0.5743760161155043	0.5905533733738482	0.7534373508694658	0.7971183090570885	0.060317233351198	0.0	0.4181097441635681	0.6460005500170889	True	0.8145272979243852	23.0	21.0	False	
TPPP3	50	9	0.0054715997915581	1.2201689410209653	0.0040009559589541	0.3926029994451139		9.0	0.604178558480096	0.60323635115231	0.6209363370136455	0.6374845960254293	0.0164213129318684	0.0	0.3969055076454498	0.6108816698935158	True	0.8145272979243852	24.0	22.0	False	
SV2C	73	5	0.0005211047420531	0.435800404548645	0.0038250962510861	0.3693372118434486		5.0	0.5600667587477458	0.6010927116562218	0.6782798280246398	0.898984165862691	0.1543773128734396	0.2	0.4635966605052583	0.6073519864585034	True	0.8145272979243852	20.0	23.0	False	
LRIG1	67	26	0.0066440854611776	1.2506570887565611	0.0045286756178907	0.3648402485308318		26.0	0.3947205022154185	0.457140884173386	0.9128622975081776	1.0325955819890396	0.1722098598370273	0.1153846153846153	0.4264883906478272	0.6019772203325222	True	0.8145272979243852	22.0	24.0	False	
EDNRB	27	15	0.002735799895779	1.0200284671783448	0.0025334250836872	0.3524096685356541		15.0	0.4536656754213286	0.5293896375742818	0.7920665596090598	0.7949394401407569	0.1519252945589009	0.0	0.3794829100707964	0.5890260290964211	True	0.8145272979243852	26.0	25.0	False	
AQP1	49	26	0.0011724856696195	1.140864577293396	0.0008294933414795	0.4110534676387896		26.0	0.5737252006040133	0.575572933208191	0.6021093292602954	0.6141277767276774	0.01331783067445	0.0	0.3800174125566792	0.5850788520665262	True	0.8145272979243852	25.0	26.0	False	
RSPH1	50	12	0.0023449713392391	1.278809041976929	0.0010844240177924	0.3969849600610977		12.0	0.5348907473386848	0.5346792625610717	0.5442486848159306	0.5450078853695971	0.007495141764555	0.0	0.3500184701394566	0.5386339223295831	True	0.8145272979243852	27.0	27.0	False	
NOTCH1	70	31	0.0028660760812923	1.2307552242279052	0.0034524821587662	0.4079181493769698		31.0	0.4820465056398049	0.4742307285516782	0.6054141463737449	0.6173988519398409	0.0659179279431484	0.0	0.3441721388493581	0.5313935619333809	True	0.8145272979243852	28.0	28.0	False	
SLIT3	133	28	0.0005211047420531	0.6695146238803863	0.0017357170518012	0.3459197225350947		28.0	0.4649848093285635	0.4423870554189659	0.6256793814631104	0.634925338341584	0.1493312212942763	0.0	0.342413769097203	0.5292626381823823	True	0.8145272979243852	29.0	29.0	False	
GATM	26	10	0.0010422094841063	0.943304785490036	0.0026025832531322	0.3523194330295829		10.0	0.4680960884008709	0.4793257801733383	0.5201660716740422	0.5415392930156806	0.0325329074540753	0.0	0.3172799532788589	0.4889240817101394	True	0.8145272979243852	31.0	30.0	False	
SOX6	102	37	0.0010422094841063	0.9289134985208513	0.0013628583818458	0.322664539287723		37.0	0.2802833182049657	0.3670347231537716	0.7913386456873606	0.8483359513412011	0.1750066132163351	0.027027027027027	0.3194074481632859	0.4847054491979237	True	0.8145272979243852	30.0	31.0	False	
GRIA2	32	9	0.0110734757686294	1.3970917677879335	0.0059374888168827	0.3527607072505537		9.0	0.4141449598769289	0.4177374728680733	0.5672089487862292	0.6304401887842991	0.1238708732906685	0.0	0.3074602211473288	0.475370555440649	True	0.8145272979243852	33.0	32.0	False	
FAM181B	40	17	0.0075560187597707	0.9161471205949784	0.0033327873759379	0.2730601384783886		17.0	0.4440247570662116	0.4235055592013002	0.5213279778937349	0.544496775411236	0.0741027922496609	0.0	0.3079418972999184	0.4749460453972209	True	0.8145272979243852	32.0	33.0	False	
FLNC	40	13	0.001823866597186	0.6931471824645996	0.002132069247246	0.4452326726768074		13.0	0.4418009092335422	0.44353521748443	0.4848782344491849	0.5092572012042219	0.0295170652877426	0.0	0.2979399223057131	0.4590318393197993	True	0.8145272979243852	34.0	34.0	False	
ADGRV1	86	25	0.0059927045336112	1.0657559156417848	0.0025769137210597	0.2922849445933583		25.0	0.3966774567654396	0.4091096866069346	0.5357898043775235	0.5952039532323361	0.0582780085102424	0.0	0.2926184338005567	0.4523223958102732	True	0.8145272979243852	35.0	35.0	False	
SPOCK1	152	29	0.0114643043251693	1.364834997653961	0.0091636564452467	0.4082893331035166		29.0	0.3407708555725123	0.4006046729545314	0.5838428485753901	0.603509789054748	0.1141167474206405	0.0	0.2822690543728524	0.4379996527736635	True	0.8145272979243852	37.0	36.0	False	
ITM2C	42	5	0.0281396560708702	1.3448471593856812	0.0109802175311458	0.3256577499362055		5.0	0.3892984612756198	0.4030638314896126	0.4438152342544308	0.4870953609894035	0.0600836498798988	0.0	0.2666731930738556	0.4111051704671442	True	0.8145272979243852	38.0	37.0	True	1.0
VIM	35	13	0.3169619593538301	2.207325315475464	0.0681653377210808	0.4005830284862711		13.0	0.1063273341515424	0.2800464282853357	0.8523256613716255	1.1172433987900148	0.3271531593236396	0.0769230769230769	0.2825354259266003	0.4047266650395757	True	0.8145272979243852	36.0	38.0	True	2.0
GRID2	130	24	0.0039082855653986	1.76516185760498	0.003092426279041	0.2926157027965682		24.0	0.3423885865129232	0.3586564980098552	0.4797429460974753	0.5299869011664872	0.0573510739625798	0.0	0.2568911711295382	0.3973303303467441	True	0.8145272979243852	39.0	39.0	False	
SLC4A4	65	18	0.0063835330901511	0.9806770801544192	0.0025956400938132	0.3963305126293637		18.0	0.3470621090864173	0.3543528028660049	0.4644322197566167	0.5350991560507028	0.0640425716043777	0.0	0.2549328985737211	0.3940101533544971	True	0.8145272979243852	40.0	40.0	False	
VCAN	37	6	0.0054715997915581	0.9746551120281216	0.0055693281151325	0.3595041156574618		6.0	0.341170987774103	0.3784098317679604	0.468166924328487	0.5310554731191846	0.1136368113088044	0.0	0.2535101261917629	0.3919693623958565	True	0.8145272979243852	41.0	41.0	False	
EFNB3	47	10	0.0453361125586242	1.87173590183258	0.0092105206145392	0.312237831543698		10.0	0.3339794194752966	0.368836946718906	0.4726407148423184	0.5268807598433479	0.0802957002853659	0.0	0.2517519465006982	0.3894439376221053	True	0.8145272979243852	42.0	42.0	True	3.0
OLIG1	49	10	0.0080771235018238	1.541381890773773	0.0051580004927734	0.3031587503940112		10.0	0.343208849771761	0.3621314795795641	0.4489918836008267	0.4947323180091261	0.0649400020246338	0.0	0.2495315108089111	0.3855220633033873	True	0.8145272979243852	43.0	43.0	False	
SALL1	41	15	0.0014330380406461	1.1739035093784331	0.0021567766814332	0.4134209422329467		15.0	0.3151125444733638	0.3577920105005117	0.4696842989701048	0.4979222423588885	0.0678912051897342	0.0	0.2434660925318717	0.3769412462720602	True	0.8145272979243852	44.0	44.0	False	
PTTG1IP	49	12	0.0102918186555497	0.7828521251678476	0.005929641588187	0.3731432411753141		12.0	0.3121557452224525	0.345365452389939	0.4644607645474055	0.5171429429869838	0.0770094347178379	0.0	0.2409774892258324	0.3730777529524337	True	0.8145272979243852	45.0	45.0	False	
ROPN1L	51	15	0.001823866597186	1.057153134346008	0.0004769515341552	0.4337838018496624		15.0	0.3516055271567814	0.3572864942733617	0.3863015902517346	0.3983371349999315	0.0223831488054592	0.0	0.2372176084256462	0.3654839523947627	True	0.8145272979243852	46.0	46.0	False	
EBF1	128	64	0.0115945805106826	1.2237755060195925	0.0049137470142497	0.3702070473792793		64.0	0.2294865378768491	0.2522644934900923	0.5466254294197355	0.5670290687294969	0.0822492378653054	0.0	0.2284509725056735	0.3563420944940036	True	0.8145272979243852	47.0	47.0	False	
CYBA	40	6	0.0011724856696195	1.0603401947021485	0.0023167871664942	0.3450228833467946		6.0	0.3442268257444849	0.3304993444805026	0.3559557320819637	0.3628533815127822	0.0388117949813986	0.0	0.2266796633182849	0.3489183882794764	True	0.8145272979243852	48.0	48.0	False	
CRB2	53	24	0.0019541427826993	0.862527196407318	0.000952720677454	0.3706683590076868		24.0	0.3270689256539978	0.3311154791478134	0.3566959085765613	0.3663156652604011	0.0110211130946604	0.0	0.2200015474057395	0.3389197188230232	True	0.8145272979243852	49.0	49.0	False	
NES	54	9	0.008598228243877	1.192427937984467	0.0034783342734464	0.3367173662514618		9.0	0.3173992968012022	0.3310679893430943	0.3642244172948987	0.4117793687600875	0.0312515012633357	0.0	0.2180158230442055	0.3361293449986808	True	0.8145272979243852	50.0	50.0	False	
CNN3	42	12	0.0032569046378322	1.1961621284484865	0.0050700650757619	0.3650979439976509		12.0	0.3104628451351287	0.3131800488864281	0.3465194634477167	0.3799441550803489	0.0264356613979516	0.0	0.2108150039159806	0.3248854924601639	True	0.8145272979243852	51.0	51.0	False	
GLUD1	28	15	0.0128973423658155	1.0822136306762695	0.0059596737557826	0.3500984820916288		15.0	0.2826903120585965	0.2811019655414024	0.3341454957483512	0.3649252152237751	0.0394183416488015	0.0	0.1966124987605264	0.3032723855344983	True	0.8145272979243852	52.0	52.0	False	
TENM3	120	27	0.0092496091714434	1.26699209690094	0.0064602481005403	0.398254095745704		27.0	0.2464655833794134	0.2573497799428067	0.3865721643938976	0.4627443374998993	0.060959506003493	0.0	0.1952292744502397	0.3025082157852071	True	0.8145272979243852	53.0	53.0	False	
ITGB5	57	25	0.0058624283480979	0.7159409523010254	0.0021938272578761	0.2969837576381995		25.0	0.241864663357107	0.2539152786249913	0.3708454249415077	0.5690210884704785	0.0668821409443088	0.0	0.1894572215782197	0.2934569679908673	True	0.8145272979243852	54.0	54.0	False	
MGST1	44	9	0.0114643043251693	1.100351700782777	0.0045038008854692	0.3897067118842125		9.0	0.2844718123156915	0.278629317862145	0.3000581757138277	0.3029297219374787	0.0202967189175184	0.0	0.1888032688547335	0.290706357674946	True	0.8145272979243852	55.0	55.0	False	
AQP4	41	17	0.0063835330901511	1.0627386283874511	0.0023671517130094	0.3708248293994055		17.0	0.2601331973972633	0.2660511453944598	0.3243989559980827	0.3522664856817959	0.0318417302131874	0.0	0.185153017958426	0.2858395008375911	True	0.8145272979243852	56.0	56.0	False	
ASCL1	38	14	0.0006513809275664	1.0187572860717773	0.0014466505638635	0.3148826150272378		14.0	0.2354178095967077	0.2421564818354729	0.3566304456144695	0.3937617052915715	0.0843472016684819	0.0	0.1833247352423004	0.2839028640038124	True	0.8145272979243852	57.0	57.0	False	
NTN1	83	52	0.0155028660760812	1.876827341318131	0.0016956016428745	0.2430602173812708		52.0	0.2663464878187147	0.2657273091722769	0.299539243528623	0.3357887697534196	0.013213169927941	0.0	0.1814234060096416	0.279623590102678	True	0.8145272979243852	58.0	58.0	False	
CTNNA1	98	7	0.003647733194372	1.15520570397377	0.0045062855824202	0.3297063972106637		7.0	0.2654966390135786	0.2620947840552109	0.2858066777278175	0.3113473573475356	0.0274133462299394	0.0	0.1776503250373858	0.2736206544992741	True	0.8145272979243852	59.0	59.0	False	
MLC1	46	10	0.0099009900990099	0.9665982031822206	0.0033273039345055	0.3747481563788808		10.0	0.2502384422452132	0.2521952207885008	0.2830685822405371	0.3023814676190911	0.0252238629654832	0.0	0.1708625224582196	0.2633704982433428	True	0.8145272979243852	60.0	60.0	False	
SPON1	89	30	0.0078165711307972	1.7041560745239257	0.0025629276254544	0.3343780650955404		30.0	0.2326021305353058	0.2394904201749504	0.302495039825677	0.3108015400264355	0.0278056632584992	0.0	0.1686646121705415	0.2605592942514543	True	0.8145272979243852	61.0	61.0	False	
IFI27L2	37	13	0.030745179781136	1.2684091424942017	0.0084566290259842	0.3230840446924203		13.0	0.2425716327337448	0.2363706940261208	0.2849280360298042	0.2959498907001897	0.0382645706104515	0.0	0.168260662100949	0.2595141940521686	True	0.8145272979243852	62.0	62.0	True	4.0
NKAIN4	67	12	0.0101615424700364	0.9930362522602078	0.0061313291484401	0.3470214412881348		12.0	0.2514975324827722	0.2562900964258652	0.2694111732556501	0.2763366369660496	0.0088426529946615	0.0	0.1679518063070214	0.2586629887919233	True	0.8145272979243852	63.0	63.0	False	
NPY	32	6	0.0396039603960396	1.9372572493553155	0.0063851131089772	0.311164729081082		6.0	0.2505760025086325	0.241857567470929	0.270753840443274	0.2796499142229424	0.0352625375241766	0.0	0.1679188611142715	0.2586471376824891	True	0.8145272979243852	64.0	64.0	True	5.0
CTNNA3	133	17	0.0015633142261594	0.6193699324131012	0.0023705688024462	0.3010346743757834		17.0	0.1949405719581253	0.2126514626708299	0.3483388262512663	0.4671356744531716	0.0752097633143863	0.0	0.1650609353460667	0.2562998736753817	True	0.8145272979243852	65.0	65.0	False	
NEFM	45	29	0.1300156331422615	1.97498089313507	0.0229986836844209	0.3834811704875052		29.0	0.2008960911172635	0.2181182324320085	0.3195220132204416	0.3245520725712586	0.0455178020081456	0.0	0.1602389397520158	0.2483464599585347	True	0.8145272979243852	66.0	66.0	True	6.0
NTRK2	114	43	0.032569046378322	1.5009598636627195	0.0063039399437328	0.3307699155514598		43.0	0.1118845907454868	0.1399481150816939	0.4420903987618492	0.6663894133136202	0.0976664571841484	0.0	0.155276435988657	0.2439669139520318	True	0.8145272979243852	69.0	67.0	True	7.0
MT2A	36	11	0.0042991141219385	1.2548541021347046	0.0039402830823223	0.3001873938285921		11.0	0.2340952217035521	0.2314467952361474	0.2530692861251054	0.255070251977931	0.0166215239344654	0.0	0.1569054102126972	0.2416848474721735	True	0.8145272979243852	67.0	68.0	False	
ADGRG1	62	10	0.0147212089630015	0.9839493632316588	0.0064837215974531	0.3243148503095753		10.0	0.2361666535467918	0.2120502005909599	0.2478998931245554	0.249226530450057	0.0447857348854276	0.0	0.1564416346998556	0.2408599493778973	True	0.8145272979243852	68.0	69.0	False	
S100B	26	5	0.0209744658676393	1.2877369308471684	0.0090542457312654	0.3595941168878797		5.0	0.2241378159488369	0.215921416550693	0.2390079770522191	0.2551459908901525	0.0300796990518236	0.0	0.1494071206425895	0.2300858803901898	True	0.8145272979243852	70.0	70.0	True	8.0
PDGFRA	43	9	0.0014330380406461	1.0164024591445924	0.0012314144596357	0.3706127809108515		9.0	0.2259382810978472	0.2103874776738659	0.2334097660592622	0.2363575481025816	0.0241019748855527	0.0	0.1487277539539544	0.2289268750824132	True	0.8145272979243852	71.0	71.0	False	
MSX1	48	19	0.0029963522668056	1.2953134703636169	0.0011517738622479	0.4149840225322735		19.0	0.2219507459878986	0.2185328441023167	0.2365306899470404	0.2406309639278739	0.0153644928860054	0.0	0.1479129708819195	0.2277827235715553	True	0.8145272979243852	72.0	72.0	False	
BCAN	55	23	0.023970818134445	1.286511569023132	0.0072739017200451	0.3463138621000944		23.0	0.1713101452737916	0.1918671294946621	0.3124782290734111	0.4893782716651835	0.0670415142112685	0.0	0.1466436153778694	0.2277773787936394	True	0.8145272979243852	73.0	73.0	True	9.0
GOLM1	36	9	0.0289213131839499	1.1319883978366851	0.0138364247532574	0.361027171347009		9.0	0.1994041746136989	0.2195784531903966	0.2565156487125863	0.2685233198792102	0.0278762941688124	0.0	0.1438905820236261	0.2222487642532539	True	0.8145272979243852	74.0	74.0	True	10.0
DDR1	36	5	0.0132881709223553	0.9932629817724185	0.0058113956776315	0.325716988533448		5.0	0.1873470616850315	0.2269210910042904	0.2667830770589645	0.3307328225064685	0.0672619595710421	0.0	0.1416345939387537	0.2191214678346047	True	0.8145272979243852	75.0	75.0	False	
MAFA	51	13	0.0397342365815528	1.490863013267519	0.0062310343983129	0.3812642492144903		13.0	0.1807056308920936	0.1850824729926341	0.2243509609229361	0.2574515658308222	0.026704737953323	0.0	0.1283699925875715	0.1981637629044306	True	0.8145272979243852	76.0	76.0	True	11.0
CD99	17	7	0.0592756644085461	1.3611591291427616	0.0081947579576082	0.3543165698676681		7.0	0.1863756857491245	0.186134232581397	0.2075904885710591	0.2108354619268312	0.022575213216566	0.0	0.1264478964424146	0.1948616068778983	True	0.8145272979243852	77.0	77.0	True	12.0
PDLIM3	42	9	0.0002605523710265	0.6070473858714104	0.0037073103255272	0.3374188606664346		9.0	0.1802846798020998	0.180279328667736	0.1975954096167016	0.2046486295281043	0.0192836367895353	0.0	0.1215127243250153	0.1872089717279406	True	0.8145272979243852	78.0	78.0	False	
QKI	80	42	0.0347837415320479	1.2937505102157594	0.0078164594985748	0.3006289807769907		42.0	0.1379627385477808	0.1490251877186275	0.2593402517636992	0.2857055198019757	0.0404859919832303	0.0	0.1200201583600371	0.1865137438341481	True	0.8145272979243852	80.0	79.0	True	13.0
RGMA	51	13	0.0285304846274101	1.3208380651474	0.0130702443833939	0.361324284099022		13.0	0.1693471181048904	0.1691029209273939	0.2105351819167725	0.2214330181162838	0.0282203616582723	0.0	0.1203726427211493	0.1858223436296432	True	0.8145272979243852	79.0	80.0	True	14.0
SLC1A3	43	29	0.0509379885356956	1.1772898936271667	0.0080922912661876	0.3202433012361038		29.0	0.1167864303280512	0.1257252721203131	0.2440942842407847	0.2956185924281411	0.0495964248478891	0.0	0.1077381431914166	0.1677095718931446	True	0.8145272979243852	81.0	81.0	True	15.0
PTPRZ1	41	14	0.0298332464825429	1.4260694837570198	0.0087309770846307	0.3297032281207092		14.0	0.1430936587692587	0.1550849270125394	0.2017980333217638	0.2523120597141269	0.0308091844274324	0.0	0.1076869718381444	0.1665754085902607	True	0.8145272979243852	82.0	82.0	True	16.0
AK1	52	7	0.0337415320479416	1.493527870178223	0.011025157814656	0.3317887978130516		7.0	0.1549349283714281	0.1558699247691359	0.1678286109691548	0.1695713883163439	0.0118019349399372	0.0	0.1039311240908599	0.1600924014105188	True	0.8145272979243852	83.0	83.0	True	17.0
HOXB8	77	7	0.0543251693590411	1.2165324950218197	0.0114330533135335	0.3638280756054706		7.0	0.1427483876472126	0.155086494456314	0.1790251666219671	0.2019705494402062	0.0255862762851839	0.0	0.1018556467143768	0.1572590992371144	True	0.8145272979243852	84.0	84.0	True	18.0
RBFOX1	466	60	0.0736060448150078	1.4291415643692005	0.0166830489717905	0.2858055493214053		60.0	0.1348199921425189	0.1370960635692956	0.1730873648351078	0.1791828114988332	0.0171329543141475	0.0	0.0971998380657845	0.1501269412195545	True	0.8145272979243852	85.0	85.0	True	19.0
ZIC1	52	17	0.0341323606044815	1.2688530075550075	0.0077031169818555	0.3354164804420538		17.0	0.1340919902416021	0.1369575895315318	0.1711566314855191	0.1886459278534871	0.022075787292473	0.0	0.0964259539680206	0.1489178467391689	True	0.8145272979243852	86.0	86.0	True	20.0
GFAP	57	24	0.0414278269932256	1.5540192198753358	0.0070152684823128	0.3541250462858438		24.0	0.1060094040025045	0.1166387882724673	0.1971364524439091	0.3102424925284243	0.0421446323215862	0.0	0.0916878747119791	0.1424602233790664	True	0.8145272979243852	87.0	87.0	True	21.0
METRN	47	11	0.0418186555497655	1.219977487325668	0.0098779047265789	0.3040618167380572		11.0	0.133757054066906	0.1335813110987941	0.1491563590292944	0.1506058455742278	0.0144417332869773	0.0	0.090791911384086	0.1399167760518613	True	0.8145272979243852	88.0	88.0	True	22.0
NFIB	96	38	0.0514590932777488	1.3357167625427255	0.0129392586755727	0.3671847803460931		38.0	0.1297468590366125	0.1315300292841837	0.1489797925833885	0.1492545975498816	0.0097741864461124	0.0	0.0891436917604921	0.1374400324553229	True	0.8145272979243852	89.0	89.0	True	23.0
HES6	47	5	0.0383011985409067	1.3628067159652726	0.0125309228227497	0.3636956246632733		5.0	0.1319481310444188	0.1282107108597634	0.1386232387357762	0.1450013197983578	0.0136849167867661	0.0	0.0874350621017116	0.1346181741209618	True	0.8145272979243852	90.0	90.0	True	24.0
PTN	49	25	0.2580771235018239	2.4223179149627687	0.0651049004959462	0.4414874366785223		25.0	0.1168641515939864	0.1075555116530112	0.1454160626849562	0.1537758187369882	0.0279087446971425	0.0	0.0830996763088336	0.1282849160303743	True	0.8145272979243852	91.0	91.0	True	25.0
EBF3	83	21	0.0492443981240229	1.3051891922950754	0.0121432572312406	0.3830883364280507		21.0	0.1074986570602199	0.1134068624336249	0.1514385248639383	0.1650764119404571	0.0209194713638857	0.0	0.0808590940400725	0.1250746041817073	True	0.8145272979243852	92.0	92.0	True	26.0
NEFL	48	26	0.3763678999478895	1.9754095494747148	0.0466636793112556	0.4074729940997745		26.0	0.0964225969998881	0.0982271167998465	0.1518404847172352	0.1713578154348125	0.0266444378052087	0.0	0.076529159979264	0.1185897520868269	True	0.8145272979243852	93.0	93.0	True	27.0
VSTM2L	80	8	0.1090411672746222	1.3940481579303723	0.0136060560444599	0.302857329605847		8.0	0.0865743074173542	0.1125930456830345	0.1610175881674902	0.2918516265325429	0.0680021914797084	0.0	0.0748841200088142	0.1163516197174086	True	0.8145272979243852	94.0	94.0	True	28.0
CLU	31	13	0.048853569567483	1.1655331945419307	0.0102277565249634	0.3514785066746578		13.0	0.1008237589879127	0.1065633620580533	0.1278938898686814	0.1288021923929929	0.0147011464412543	0.0	0.0723029760623354	0.1116518113402201	True	0.8145272979243852	95.0	95.0	True	29.0
CST3	23	7	0.1732673267326732	1.7006043767929075	0.0218749581757897	0.3139091102092542		7.0	0.1039228942480069	0.0969055853269336	0.1208386042569739	0.1279408941289378	0.0251453507648192	0.0	0.0717788087634462	0.1106891782515937	True	0.8145272979243852	96.0	96.0	True	30.0
TTYH1	29	14	0.1224596143824908	1.4816045761108398	0.0174053840531513	0.3543345711908755		14.0	0.0984968618077821	0.1015647336953073	0.1251266413951364	0.1327429057812068	0.014800335224452	0.0	0.0706804050718969	0.1091487736427238	True	0.8145272979243852	97.0	97.0	True	31.0
SPARCL1	27	15	0.2045336112558624	1.8486975717544556	0.0243279017846913	0.3469652618264053		15.0	0.0955997394536511	0.0966623894547504	0.1280392450429672	0.146221121163865	0.0211081952412086	0.0	0.0702497070422022	0.1085755416893775	True	0.8145272979243852	98.0	98.0	True	32.0
FABP7	28	11	0.2081813444502345	1.7917594909667969	0.0329401975140474	0.3759153468290993		11.0	0.0965602612123552	0.0931526258227861	0.1237600563176982	0.1382239651109786	0.0245335798184793	0.0	0.0695641185643666	0.1074401792544924	True	0.8145272979243852	99.0	99.0	True	33.0
