validation_fold	global_mse	spatial_mse	relative_gain	improved
0	0.0035864677065547052	0.0020859088429829946	0.418394639614141	True
1	0.0046034522186539275	0.002058807048365642	0.5527688893950011	True
2	0.005651340985992085	0.0027762471499506126	0.5087454186834479	True
3	0.006566307166849418	0.0028363417258830096	0.5680461401192848	True
