enhancer	domain	baseline_loss	ablated_loss	delta_loss
0	all_test	0.020544562488794327	0.05911445617675781	0.038569893687963486
0	0	0.030672302469611168	0.09355653077363968	0.06288422830402851
0	1	0.007040909491479397	0.013191686011850834	0.006150776520371437
1	all_test	0.020544562488794327	0.15238074958324432	0.13183618709445
1	0	0.030672302469611168	0.17965465784072876	0.1489823553711176
1	1	0.007040909491479397	0.11601556092500687	0.10897465143352747
2	all_test	0.020544562488794327	0.02166781947016716	0.0011232569813728333
2	0	0.030672302469611168	0.0325804278254509	0.0019081253558397293
2	1	0.007040909491479397	0.007117672357708216	7.67628662288189e-05
3	all_test	0.020544562488794327	0.021985741332173347	0.0014411788433790207
3	0	0.030672302469611168	0.03309141844511032	0.002419115975499153
3	1	0.007040909491479397	0.007178172469139099	0.0001372629776597023
