epoch	train_loss	validation_loss
0	0.0033759353682398796	0.004356826189905405
1	0.0033680542837828398	0.00434922706335783
2	0.00336020952090621	0.004341674968600273
3	0.0033523880410939455	0.0043342080898582935
4	0.0033446347806602716	0.0043268827721476555
5	0.0033370114397257566	0.004319763742387295
6	0.003329584375023842	0.004312918521463871
7	0.0033224287908524275	0.004306419286876917
8	0.0033156219869852066	0.004300334956496954
9	0.0033092410303652287	0.004294728860259056
10	0.003303359029814601	0.0042896573431789875
11	0.0032980418764054775	0.004285164177417755
12	0.003293342189863324	0.004281269386410713
13	0.003289292799308896	0.004277970176190138
14	0.0032859030179679394	0.004275238141417503
15	0.003283151425421238	0.0042730215936899185
16	0.0032809877302497625	0.004271235316991806
17	0.0032793304417282343	0.004269768018275499
18	0.003278064541518688	0.00426847767084837
19	0.00327705149538815	0.0042672124691307545
20	0.003276136005297303	0.004265825264155865
21	0.0032751685939729214	0.004264201503247023
22	0.0032740316819399595	0.0042622704058885574
23	0.003272648900747299	0.0042600142769515514
24	0.003270996268838644	0.004257453605532646
25	0.003269091248512268	0.004254644736647606
26	0.003266981802880764	0.004251659382134676
27	0.003264734987169504	0.004248571582138538
28	0.003262421116232872	0.004245449788868427
29	0.0032601035200059414	0.004242348950356245
30	0.0032578345853835344	0.004239305853843689
31	0.0032556462101638317	0.004236331209540367
32	0.003253550035879016	0.004233419429510832
33	0.0032515344209969044	0.004230541177093983
34	0.0032495688647031784	0.004227655939757824
35	0.003247607499361038	0.004224705975502729
36	0.0032455960754305124	0.004221640527248383
37	0.003243480809032917	0.00421841349452734
38	0.0032412176951766014	0.004214995075017214
39	0.0032387778628617525	0.004211369901895523
40	0.0032361503690481186	0.004207537043839693
41	0.0032333412673324347	0.004203507211059332
42	0.0032303668558597565	0.004199295304715633
43	0.003227249253541231	0.004194917157292366
44	0.003224011044949293	0.004190380685031414
45	0.0032206708565354347	0.004185688216239214
46	0.003217238700017333	0.004180829506367445
47	0.003213711781427264	0.00417578499764204
48	0.0032100798562169075	0.004170526284724474
49	0.003206320572644472	0.004165021236985922
50	0.003202409716323018	0.004159240517765284
51	0.0031983223743736744	0.004153164569288492
52	0.0031940429471433163	0.004146785009652376
53	0.0031895656138658524	0.004140105098485947
54	0.0031848945654928684	0.004133137408643961
55	0.0031800419092178345	0.004125893581658602
56	0.0031750190537422895	0.004118381533771753
57	0.0031698313541710377	0.004110599402338266
58	0.003164472756907344	0.004102528560906649
59	0.0031589248683303595	0.004094145260751247
