gene	enhancer_index	global_concordance	max_regional_concordance	best_domain	best_domain_size	local_advantage	regional_specificity	regional_evidence_score	predicted_class	truth_class	truth_domain
sim_gene	0	0.9937861137861954	0.995037607515984	4	415	0.0012514937297886108	0.002297242467802829	2.860717742565261e-06	core_concordant	core_concordant	-1
sim_gene	1	0.9962332343347163	0.9971160052147706	4	415	0.0008827708800542844	0.0017133004705867094	1.5080898612163356e-06	core_concordant	core_concordant	-1
sim_gene	2	0.9969562435424658	0.9978376054053788	4	415	0.0008813618629129882	0.001990762879933161	1.7507883808043184e-06	core_concordant	core_concordant	-1
sim_gene	3	0.9960424564232085	0.9970862492049185	4	415	0.0010437927817099624	0.002037384342212234	2.1204106669290787e-06	core_concordant	core_concordant	-1
sim_gene	4	0.9967941875174573	0.9975009831238966	4	415	0.00070679560643927	0.0014378999610402676	1.0137616206752202e-06	core_concordant	core_concordant	-1
sim_gene	5	0.9977709568565437	0.9984434934191876	4	415	0.0006725365626438773	0.0012843217277563879	8.624088823871704e-07	core_concordant	core_concordant	-1
sim_gene	6	0.9970078500921243	0.9977033204950599	4	415	0.0006954704029356051	0.0015686239349934628	1.0884260000607754e-06	core_concordant	core_concordant	-1
sim_gene	7	0.9977921404042034	0.9979567181453962	4	415	0.00016457774119282842	0.0005151001053732562	8.460079463040314e-08	core_concordant	core_concordant	-1
sim_gene	8	0.9983246574588474	0.9988254022503448	4	415	0.0005007447914974206	0.0007494770641618409	3.7485591352399613e-07	core_concordant	core_concordant	-1
sim_gene	9	0.9975860551285564	0.9979444687278215	4	415	0.0003584135992651394	0.0009706561476627851	3.4718125167793484e-07	core_concordant	core_concordant	-1
sim_gene	10	0.3019874467759136	0.9983608328294771	3	281	0.6963733860535635	0.7922398504284112	0.5507904272916258	regional_candidate	regional_specific	0
sim_gene	11	0.475276367733416	0.9982966436908045	5	262	0.5230202759573885	0.6203887226864713	0.32392318290134847	regional_candidate	regional_specific	1
sim_gene	12	0.32311447171916247	0.9891235923599989	1	415	0.6660091206408365	0.7733471022295875	0.5094542620616952	regional_candidate	regional_specific	2
sim_gene	13	0.3402172428877582	0.9985801672919953	3	281	0.658362924404237	0.6514311056845343	0.42826915264957005	regional_candidate	regional_redundant	0
sim_gene	14	0.48125123844233186	0.9981020859054721	5	262	0.5168508474631403	0.5767467579285983	0.2975262975027009	regional_candidate	regional_redundant	1
sim_gene	15	0.24137578238780036	0.5036011959069849	0	281	0.2622254135191846	0.2719410689997921	0.03591173040899535	regional_candidate	unsupported	-1
sim_gene	16	-0.2643023325666861	0.5421246700032746	0	281	0.8064270025699607	0.893283504196174	0.3905292310671693	regional_candidate	unsupported	-1
sim_gene	17	-0.06015444904859714	0.3042191529957876	1	415	0.36437360204438474	0.5107802165771101	0.056619695141610644	unsupported	unsupported	-1
sim_gene	18	0.1671079517432435	0.37615186845725357	1	415	0.20904391671401007	0.3909593495643409	0.030742017170264348	unsupported	unsupported	-1
sim_gene	19	0.032775867664937536	0.4706567786952791	2	262	0.43788091103034155	0.4763755748040006	0.09817701348136891	regional_candidate	unsupported	-1
