scenario	runs	enabled	mean_r2_gain	min_r2_gain	max_r2_gain	mean_gate_gain	worst_gate_gain	mean_raw_recovery
spatial_complementary	5	0	-1.894397478441334e-07	-7.655269755879601e-07	4.954867538486951e-08	-0.04158845990896225	-0.270170658826828	-0.4742654885422615
unrelated_missing_factor	5	0	9.530630474909041e-07	-1.825057771576155e-07	4.32141260375829e-06	-0.2929969854652882	-1.3725327253341675	
