run	scenario	fold	enabled	strength	gate_mean_gain	gate_worst_gain	spatial_r2	elastic_r2	r2_gain	raw_attribution_recovery
spatial_complementary_seed20260984_fold0	spatial_complementary	0	False	0.0	-0.045823998749256134	-0.18329599499702454	0.9265278348026884	0.9265278123129926	2.2489695772343055e-08	-0.47426548854226147
spatial_complementary_seed20260984_fold1	spatial_complementary	1	False	0.0	-0.067542664706707	-0.270170658826828	0.9560416074973466	0.9560416263173672	-1.8820020653009806e-08	-0.47426548854226147
spatial_complementary_seed20260984_fold2	spatial_complementary	2	False	0.0	-0.03153983876109123	-0.12615935504436493	0.9215378615866006	0.9215378120379252	4.954867538486951e-08	-0.47426548854226147
spatial_complementary_seed20260984_fold3	spatial_complementary	3	False	0.0	-0.016328483819961548	-0.06531393527984619	0.7455075957937494	0.745508361320725	-7.655269755879601e-07	-0.47426548854226147
spatial_complementary_seed20260984_fold4	spatial_complementary	4	False	0.0	-0.046707313507795334	-0.18682925403118134	0.6224209498764992	0.6224211847666133	-2.3489011413690974e-07	-0.47426548854226147
unrelated_missing_factor_seed20260984_fold0	unrelated_missing_factor	0	False	0.0	-0.4496004655957222	-1.0828289985656738	-0.6480372091241138	-0.6480371493877763	-5.973633743217022e-08	
unrelated_missing_factor_seed20260984_fold1	unrelated_missing_factor	1	False	0.0	-0.3397900126874447	-1.3725327253341675	-1.3151349140120572	-1.31513473150628	-1.825057771576155e-07	
unrelated_missing_factor_seed20260984_fold2	unrelated_missing_factor	2	False	0.0	-0.3572503477334976	-1.3245019912719727	-0.0056594381841246	-0.0056594365580406	-1.626084000089234e-09	
unrelated_missing_factor_seed20260984_fold3	unrelated_missing_factor	3	False	0.0	-0.11837656050920486	-0.4545292556285858	-20.178533555894624	-20.178534243665457	6.877708322861054e-07	
unrelated_missing_factor_seed20260984_fold4	unrelated_missing_factor	4	False	0.0	-0.19996754080057144	-0.6864429116249084	-89.60634110045396	-89.60634542186656	4.32141260375829e-06	
