gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score	core_threshold	mixed_complexity_score	threshold_rank
NEFL	20	6	8	6	2	0.0862657698591974	0.0	0.1895452697174586	0.25	0.3941483078793924	1
NEFM	20	3	5	12	2	0.0467484241228237	0.7219280948873623	0.1442320232929819	0.25	0.23213248647480333	2
MSX1	20	3	7	10	1	0.0689996750273765	0.0	0.14348079061433544	0.25	0.23092342412073028	3
MAFA	20	8	5	7	1	0.0317411898868074	0.0	0.056872577544252935	0.25	0.13095394925354473	4
EGFR	20	3	5	12	1	0.0414002356006549	0.0	0.07417926416574586	0.25	0.11938692006481567	5
NTRK2	20	4	4	12	1	0.0324264299954934	0.0	0.05218832579963739	0.25	0.0935089269346591	6
VIM	20	8	3	9	1	0.0233201423040522	0.0	0.03232858177662098	0.25	0.07443931047648643	7
FABP7	20	2	3	15	1	0.0281882397024894	0.0	0.03907719774945688	0.25	0.054172498888438954	8
TTYH1	20	8	2	10	1	0.0194475387563252	0.0	0.021365305062048194	0.25	0.0491954329431424	9
SPON1	20	6	1	13	1	0.0228204347607573	0.0	0.01581792001357109	0.25	0.0328924399791886	10
PTN	20	19	1	0	1	0.0144629195941528	0.0	0.010024931939352201	0.25	0.030521130226007966	11
CD99	17	2	1	14	1	0.0148465705100033	0.0	0.010290858489993216	0.25	0.014266159095760348	12
SPARCL1	20	12	1	7	1	0.0071164687436425	0.0	0.004932760245198775	0.25	0.013017837080326587	13
ROPN1L	20	1	2	17	1	0.0104630340414627	0.0	0.01149481777470368	0.25	0.012628348063290079	14
KCNIP4	20	1	1	18	1	0.0068353012483213	0.0	0.004737869788551784	0.25	0.005205081971812369	15
