model	mean_r2	sd_r2	mean_mse	mean_pearson
best_single	-0.5183882385926444	0.44048916208616323	0.0919995659410463	0.23730467870908373
global_elastic_net	0.7780070574047058	0.09886724596579598	0.012817115700178761	0.969053915954383
spatial_attribution	0.8028591481821564	0.07857780780961879	0.01164532863695254	0.9689300834900921
spatial_mean	-0.15757659657506565	0.1274533205355655	0.06620110761022678	-1.0280347411357224e-16
