epoch	train_loss	validation_loss	train_reconstruction	train_safety	validation_reconstruction	validation_safety
0	0.003010028973221779	0.003099622204899788	0.002419942757114768	0.0006107691442593932	0.0025678076781332493	0.0005544963642023504
1	0.0029891831800341606	0.0030740394722670317	0.002412662608548999	0.0005844075931236148	0.002558164531365037	0.0005233859992586076
2	0.002967471955344081	0.0030470555648207664	0.002405547071248293	0.0005560805439017713	0.002548412187024951	0.0004897942999377847
3	0.0029447623528540134	0.003018678165972233	0.0023986913729459047	0.000525352661497891	0.002538681263104081	0.00045348895946517587
4	0.002921123057603836	0.0029891496524214745	0.002392300171777606	0.0004919663770124316	0.002529211575165391	0.0004144827835261822
5	0.0028968267142772675	0.0029588432516902685	0.0023866749834269285	0.00045587270869873464	0.0025203097611665726	0.00037291189073584974
6	0.0028722702991217375	0.00292822509072721	0.0023821836803108454	0.0004171320179011673	0.0025123327504843473	0.0003289960732217878
7	0.0028479397296905518	0.0028978497721254826	0.0023792467545717955	0.0003758779203053564	0.0025056807789951563	0.00028304351144470274
8	0.0028243991546332836	0.002868336159735918	0.002378324046730995	0.00033231760608032346	0.0025007794611155987	0.00023543644056189805
9	0.0028022734913975	0.0028449813835322857	0.0023798993788659573	0.00028672924963757396	0.0024980672169476748	0.00019588717259466648
10	0.0027850870974361897	0.0028340299613773823	0.0023844591341912746	0.0002451813197694719	0.002497931243851781	0.00017605567700229585
11	0.002790669444948435	0.0028324283193796873	0.002392236841842532	0.0002428072039037943	0.002499729860574007	0.00017073648632504046
12	0.0028002881444990635	0.002833548467606306	0.0024009435437619686	0.0002462922129780054	0.002502013463526964	0.00016945964307524264
13	0.0028093226719647646	0.0028395147528499365	0.00240844557993114	0.00025053619174286723	0.0025035967119038105	0.0001788142544683069
14	0.002815236570313573	0.002841692417860031	0.0024132404942065477	0.00025343699962832034	0.002503930125385523	0.00018266825645696372
15	0.0028170375153422356	0.002839679131284356	0.0024148395750671625	0.00025403033941984177	0.0025030223187059164	0.0001802704791771248
16	0.0028149934951215982	0.0028344669844955206	0.002413535490632057	0.0002523475850466639	0.002501196227967739	0.00017303755157627165
17	0.0028100446797907352	0.0028280243277549744	0.002410015556961298	0.0002489788457751274	0.002498879097402096	0.00016412162221968174
18	0.0028033305425196886	0.0028255453798919916	0.0024050725623965263	0.0002446983999107033	0.002496476750820875	0.00016316348046530038
19	0.0027959125582128763	0.0028236988000571728	0.0023994373623281717	0.0002402380050625652	0.0024943070020526648	0.0001629181206226349
20	0.0027886368334293365	0.002823190065100789	0.0023936997167766094	0.00023617041006218642	0.002492573345080018	0.00016443357162643224
21	0.002782087307423353	0.0028238818049430847	0.0023882819805294275	0.00023286649957299232	0.002491374732926488	0.00016727196634747088
22	0.002776598557829857	0.0028288071043789387	0.0023834474850445986	0.00023050876916386187	0.002490720711648464	0.00017750752158463
23	0.002772294217720628	0.0028353375382721424	0.002379325218498707	0.00022911834821570665	0.00249055540189147	0.00019001602777279913
24	0.0027751242741942406	0.002841206733137369	0.0023759398609399796	0.00024056695110630244	0.00249057007022202	0.00020106467127334327
25	0.002779381349682808	0.002845123643055558	0.0023736930452287197	0.00025284229195676744	0.0024904385209083557	0.00020875796326436102
26	0.0027819497045129538	0.0028457501903176308	0.0023723342455923557	0.00026024915860034525	0.0024900296702980995	0.00021064569591544569
27	0.002782172290608287	0.002843467053025961	0.0023715661372989416	0.0002620297600515187	0.0024893349036574364	0.00020747580856550485
28	0.0027803026605397463	0.002838699845597148	0.002371258568018675	0.00025891902623698115	0.0024884245358407497	0.00019993586465716362
29	0.002776659093797207	0.0028319002594798803	0.0023713880218565464	0.00025157086201943457	0.0024874149821698666	0.00018867352628149092
