gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score	core_threshold	mixed_complexity_score	threshold_rank
tbx16	20	11	3	6	2	0.2149165797120206	0.9182958340544894	0.5715325385422729	0.3	1.465952017502364	1
dbx1a	20	2	6	12	2	0.1521414211393201	0.9709505944546688	0.5835068917579209	0.3	0.8089123137186002	2
gata5	20	6	5	9	2	0.1089086245610096	0.9709505944546688	0.38460747405255175	0.3	0.7997687587854256	3
foxa3	20	6	6	8	3	0.09241172367884229	0.9709505944546688	0.3544260152299646	0.3	0.7370081795212385	4
pax6b	20	10	4	6	2	0.0904163448232472	0.8112781244591328	0.2635762748282893	0.3	0.6549624380471657	5
xbp1	20	3	6	11	2	0.118649340033931	0.7219280948873623	0.3975604029041047	0.3	0.6398487849164421	6
zgc:174154	14	8	4	2	2	0.07755304562207091	1.0	0.2496336236977847	0.3	0.5748026606366042	7
clic4	20	3	4	13	2	0.11043847418096871	1.0	0.3554877346764511	0.3	0.5721354375935948	8
pcdh10b	20	2	7	11	2	0.18386464707975148	0.0	0.3823357851839373	0.3	0.5300299430548381	9
dlx3b	20	6	7	7	3	0.0678271347913268	0.7219280948873623	0.24286514963189645	0.3	0.5050238811708547	10
efnb2b	20	4	6	10	3	0.07760150559529841	0.8649735207179272	0.28162136588279923	0.3	0.5045977490574443	11
foxo1a	20	2	6	12	1	0.1659741093762388	0.0	0.3229707039156397	0.3	0.4477324656451731	12
lhx1a	20	1	7	12	3	0.113139469489896	0.7219280948873623	0.40511270705261454	0.3	0.44506179826360637	13
id3	20	2	6	12	4	0.0875096818151163	0.8649735207179272	0.317578839890902	0.3	0.440257754951754	14
bambia	20	6	5	9	2	0.0682078398353729	0.7219280948873623	0.21044035020415708	0.3	0.43759840626017693	15
gli2a	20	3	6	11	4	0.0640017417494016	0.8649735207179272	0.23226685863987515	0.3	0.37381908809698694	16
foxc1a	20	6	4	10	4	0.0548275056069742	1.0	0.17648293233611498	0.3	0.36698594089718906	17
pitx2	20	3	7	10	1	0.10785144284995951	0.0	0.2242707705923145	0.3	0.3609498808420817	18
tram1	20	1	4	15	3	0.0921036686032097	0.946394630357186	0.28852407298254956	0.3	0.3169760921552035	19
irx1b	20	2	5	13	2	0.0630807182244609	0.7219280948873623	0.19462173947049663	0.3	0.2698030199792939	20
meis1b	20	1	3	16	2	0.09128097289408439	0.9182958340544894	0.2427455630862457	0.3	0.2666832586262094	21
cnn3a	20	1	4	15	3	0.0733527042097448	0.946394630357186	0.22978477734753594	0.3	0.25244438014286846	22
sox10	20	4	6	10	1	0.0705926175931495	0.0	0.13736689102289026	0.3	0.24612842774868193	23
lhfpl6	20	7	4	9	2	0.0310527351874362	1.0	0.09995489859087249	0.3	0.21962335980901448	24
fezf2	20	7	3	10	2	0.0370270828908382	0.9182958340544894	0.0984669619615777	0.3	0.21635402887760916	25
fn1a	20	2	3	15	2	0.0571736726610022	0.9182958340544894	0.15204324541881717	0.3	0.21077669377047387	26
shha	20	1	4	15	2	0.0643202642508039	0.8112781244591328	0.18750255476860608	0.3	0.20599261082545592	27
unc5b	20	1	4	15	1	0.1151848044376249	0.0	0.1853827911982211	0.3	0.20366381251796	28
zic2b	20	3	4	13	3	0.0403265276937032	0.946394630357186	0.12632693350746027	0.3	0.20331535614844826	29
bhlha15	20	5	4	11	1	0.061439296653341594	0.0	0.0988827333471735	0.3	0.19241691438659517	30
tuba8l2	20	4	3	13	2	0.038730904358524595	0.9182958340544894	0.1029979730634409	0.3	0.18454759354771635	31
foxa	20	1	5	14	2	0.04627969537470179	0.9709505944546688	0.16343532764032376	0.3	0.17955205934815846	32
grhl2b	20	2	5	13	3	0.0386372706190933	0.8649735207179272	0.12910968397553926	0.3	0.17898402686126116	33
csrp1a	20	2	2	16	2	0.0581407000444316	1.0	0.12774817508115816	0.3	0.17709657475836607	34
foxg1a	20	5	3	12	1	0.065524102015337	0.0	0.09083569314130614	0.3	0.17675809718014174	35
nrarpa	20	4	3	13	2	0.0369508673405296	0.9182958340544894	0.09826428021872363	0.3	0.1760659545687771	36
fzd8a	20	4	3	13	1	0.060225711924937704	0.0	0.08349056483597209	0.3	0.14959501013605186	37
lft1	20	1	3	16	2	0.0507458138906869	0.9182958340544894	0.13494949469324652	0.3	0.1482571732195525	38
msx3	20	2	3	15	2	0.0360188879336056	0.9182958340544894	0.09578584622809279	0.3	0.13278737850110198	39
msx1b	20	2	4	14	2	0.0323460956240017	0.8112781244591328	0.09429338695874756	0.3	0.13071839063180757	40
sp8b	20	4	3	13	1	0.0507371378636287	0.0	0.07033660811971096	0.3	0.126026283631875	41
hdlbpa	20	1	4	15	2	0.0371646300360639	0.8112781244591328	0.10834008783950169	0.3	0.119023751855859	42
lmo2	20	3	3	14	2	0.0262988960208096	0.9182958340544894	0.06993725111284144	0.3	0.11255966343243098	43
emx2	20	5	3	12	1	0.037943202130270005	0.0	0.05260044715602553	0.3	0.10235574396575776	44
mych	20	2	3	15	3	0.025892889930572302	0.9999999999999998	0.07179033460770073	0.3	0.09952253604956567	45
anp32e	20	1	2	17	1	0.0576617967544863	0.0	0.06334795850116158	0.3	0.06959484567141357	46
nop58	20	1	1	18	1	0.072547562597311	0.0	0.050286138470822264	0.3	0.05524496967371153	47
spon1b	20	2	2	16	2	0.015480233942342	1.0	0.0340135504810282	0.3	0.047152793233516135	48
fscn1a	20	1	2	17	2	0.01679931509746	1.0	0.036911868014554525	0.3	0.04055183179848494	49
ntd5	20	3	1	16	1	0.0067011750929171	0.0	0.004644900622094017	0.3	0.007475679160686849	50
