gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score	core_threshold	mixed_complexity_score	threshold_rank
meis1b	20	1	3	16	2	0.09128097289408439	0.9182958340544894	0.2427455630862457	0.35	0.2666832586262094	26
cnn3a	20	1	4	15	3	0.0733527042097448	0.946394630357186	0.22978477734753594	0.35	0.25244438014286846	27
fn1a	20	1	4	15	3	0.0654321870381797	0.946394630357186	0.20497295487482559	0.35	0.22518580707009733	28
fezf2	20	7	3	10	2	0.0370270828908382	0.9182958340544894	0.0984669619615777	0.35	0.21635402887760916	29
lhfpl6	20	3	5	12	2	0.037966028102521504	0.9709505944546688	0.13407586614170372	0.35	0.2157867821108975	30
shha	20	1	4	15	2	0.0643202642508039	0.8112781244591328	0.18750255476860608	0.35	0.20599261082545592	31
unc5b	20	1	4	15	1	0.1151848044376249	0.0	0.1853827911982211	0.35	0.20366381251796	32
zic2b	20	3	4	13	3	0.0403265276937032	0.946394630357186	0.12632693350746027	0.35	0.20331535614844826	33
fzd8a	20	2	4	14	1	0.0847307250162127	0.0	0.13636884118912118	0.35	0.18904735557293256	34
spon1b	20	1	3	16	2	0.0644719996358308	0.9182958340544894	0.17145185199828453	0.35	0.1883591115202214	35
tuba8l2	20	4	3	13	2	0.038730904358524595	0.9182958340544894	0.1029979730634409	0.35	0.18454759354771635	36
foxa	20	1	5	14	2	0.04627969537470179	0.9709505944546688	0.16343532764032376	0.35	0.17955205934815846	37
csrp1a	20	2	2	16	2	0.0581407000444316	1.0	0.12774817508115816	0.35	0.17709657475836607	38
nrarpa	20	4	3	13	2	0.0369508673405296	0.9182958340544894	0.09826428021872363	0.35	0.1760659545687771	39
grhl2b	20	1	6	13	3	0.0420583184715717	0.7219280948873623	0.1409255376578197	0.35	0.1548225274580412	40
lft1	20	1	3	16	2	0.0507458138906869	0.9182958340544894	0.13494949469324652	0.35	0.1482571732195525	41
msx1b	20	2	4	14	2	0.0323460956240017	0.8112781244591328	0.09429338695874756	0.35	0.13071839063180757	42
hdlbpa	20	1	4	15	2	0.0371646300360639	0.8112781244591328	0.10834008783950169	0.35	0.119023751855859	43
msx3	20	1	3	16	2	0.0360188879336056	0.9182958340544894	0.09578584622809279	0.35	0.10523150774665666	44
mych	20	2	3	15	3	0.025892889930572302	0.9999999999999998	0.07179033460770073	0.35	0.09952253604956567	45
lmo2	20	2	3	15	2	0.0262988960208096	0.9182958340544894	0.06993725111284144	0.35	0.09695361684995787	46
anp32e	20	1	2	17	1	0.0576617967544863	0.0	0.06334795850116158	0.35	0.06959484567141357	47
nop58	20	1	1	18	1	0.072547562597311	0.0	0.050286138470822264	0.35	0.05524496967371153	48
fscn1a	20	1	2	17	2	0.01679931509746	1.0	0.036911868014554525	0.35	0.04055183179848494	49
ntd5	20	3	1	16	1	0.0067011750929171	0.0	0.004644900622094017	0.35	0.007475679160686849	50
