gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score	core_threshold	mixed_complexity_score	threshold_rank
pcdh10b	20	5	5	10	1	0.17829245134572497	0.0	0.319457187990585	0.2	0.6216349842995504	1
lhx1a	20	4	5	11	2	0.10289603496064481	0.7219280948873623	0.31746317848505873	0.2	0.5688176561818401	2
foxa3	20	9	4	7	2	0.0612847551223687	1.0	0.19726801669636024	0.2	0.4730280447105123	3
efnb2b	20	7	4	9	3	0.0625940556570553	0.946394630357186	0.19608222079050416	0.2	0.43083667469956277	4
id3	20	3	5	12	4	0.06921985526595349	0.9609640474436812	0.24320921532090942	0.2	0.39143013179082004	5
xbp1	20	5	4	11	1	0.0864996176846875	0.0	0.13921576411279124	0.2	0.27090136829557093	6
foxc1a	20	10	2	8	2	0.0439306433220919	1.0	0.09652548920549159	0.2	0.23985683000076588	7
tuba8l2	20	7	3	10	2	0.038730904358524595	0.9182958340544894	0.1029979730634409	0.2	0.22630967783080624	8
dlx3b	20	9	4	7	1	0.0474120141475005	0.0	0.07630669307384923	0.2	0.18297545860465925	9
bhlha15	20	6	3	11	1	0.0466154874303089	0.0	0.06462278736549236	0.2	0.13437930858694763	10
hdlbpa	20	3	3	14	2	0.0306664698108372	0.9182958340544894	0.08155203922658302	0.2	0.13125294376757562	11
bambia	20	9	3	8	1	0.039332630474949504	0.0	0.05452660383543486	0.2	0.13074908557873877	12
tbx16	20	16	1	3	1	0.0651977104998637	0.0	0.04519160921194406	0.2	0.13062055096008326	13
pitx2	20	8	2	10	1	0.0468287472365634	0.0	0.05144663717702134	0.2	0.11846025984848262	14
meis1b	20	8	1	11	1	0.0723763817021808	0.0	0.05016748491599704	0.2	0.11551490292057844	15
nrarpa	20	5	2	13	2	0.0203241705302444	1.0	0.0446567670030255	0.2	0.08689805613518575	16
msx3	20	3	2	15	2	0.0245155751900656	1.0	0.0538662243351462	0.2	0.08669434364466463	17
grhl2b	20	9	2	9	2	0.0151469306680137	1.0	0.03328120833496742	0.2	0.07980485213943611	18
dbx1a	20	8	1	11	1	0.049211947173674	0.0	0.0341111224332971	0.2	0.07854376202020469	19
nop58	20	2	1	17	1	0.072547562597311	0.0	0.050286138470822264	0.2	0.06971139020459491	20
gli2a	20	9	2	9	2	0.0132193723883711	1.0	0.02904592990868878	0.2	0.06964909802207764	21
anp32e	20	1	2	17	1	0.0576617967544863	0.0	0.06334795850116158	0.2	0.06959484567141357	22
sox10	20	8	2	10	1	0.0269996247382748	0.0	0.02966211952689619	0.2	0.06829955424923877	23
mych	20	4	2	14	2	0.0163823084169651	1.0	0.035995610687257734	0.2	0.06449547629954062	24
foxo1a	20	6	2	12	1	0.0277855106929286	0.0	0.030525503494170526	0.2	0.06347600004647118	25
zgc:174154	14	10	2	2	2	0.0113973716506437	1.0	0.025042585107829415	0.2	0.062228486262327264	26
lmo2	20	4	2	14	2	0.0156571571560957	1.0	0.03440229051458914	0.2	0.06164062979264958	27
spon1b	20	3	2	15	2	0.015480233942342	1.0	0.0340135504810282	0.2	0.05474269768065791	28
sp8b	20	10	1	9	1	0.0298122102539647	0.0	0.020664249483795923	0.2	0.05134873095516274	29
emx2	20	6	2	12	1	0.0204544037264167	0.0	0.022471459291220165	0.2	0.04672808595233053	30
tram1	20	4	1	15	1	0.0280196242376101	0.0	0.01942172354064855	0.2	0.03479905706268646	31
clic4	20	6	1	13	1	0.0198824183460172	0.0	0.013781442219255154	0.2	0.028657703454979512	32
fn1a	20	11	1	8	1	0.0132334002882254	0.0	0.009172694099004603	0.2	0.023527495835433086	33
lft1	20	3	1	16	1	0.0169767635581965	0.0	0.011767395795396728	0.2	0.01893889292372912	34
foxg1a	20	7	1	12	1	0.0115450110622051	0.0	0.008002391867300843	0.2	0.017583052088308897	35
pax6b	20	17	1	2	1	0.0079543135787258	0.0	0.005513510030383476	0.2	0.01623419384548625	36
unc5b	20	7	1	12	1	0.0104383226816186	0.0	0.00723529393653886	0.2	0.015897565661614908	37
cnn3a	20	5	1	14	1	0.0116951146113445	0.0	0.008106435719178861	0.2	0.015774395538614653	38
zic2b	20	8	1	11	1	0.009883491728149	0.0	0.006850714425454021	0.2	0.0157743529124097	39
fezf2	20	14	1	5	1	0.0081208826479032	0.0	0.005628966911052286	0.2	0.015606810175444465	40
msx1b	20	7	1	12	1	0.0084644151542483	0.0	0.005867085499256083	0.2	0.01289130445629841	41
gata5	20	10	1	9	1	0.0072214807364023	0.0	0.005005549011905212	0.2	0.012438322025523016	42
shha	20	4	1	15	1	0.008133575944219	0.0	0.005637765233605595	0.2	0.010101519242597543	43
csrp1a	20	4	1	15	1	0.0076807916799876	0.0	0.005323919097451691	0.2	0.009539182456263147	44
lhfpl6	20	12	1	7	1	0.0051915169453067	0.0	0.003598485333468519	0.2	0.009496609094803102	45
fscn1a	20	6	1	13	1	0.0062887343438692	0.0	0.0043590184797434334	0.2	0.00906432410772858	46
ntd5	20	3	1	16	1	0.0067011750929171	0.0	0.004644900622094017	0.2	0.007475679160686849	47
foxa	20	5	1	14	1	0.0051341562140764	0.0	0.0035587259043413796	0.2	0.006924960854963938	48
