scenario	runs	enabled	mean_r2_gain	min_r2_gain	max_r2_gain	mean_gate_gain	mean_attribution_recovery
spatial_complementary	5	0	1.1656016374317345e-09	-6.318434375707227e-08	5.776779010702171e-08	-0.001319271046668291	0.3333333333333338
unrelated_missing_factor	5	0	-2.342835565793955e-06	-7.86493660598353e-06	1.1309008920434849e-06	-0.030295149236917496	
