run	scenario	fold	enabled	strength	gate_mean_gain	gate_worst_gain	spatial_r2	elastic_r2	r2_gain	attribution_recovery
spatial_complementary_seed20260914_fold0	spatial_complementary	0	False	0.0	0.0	0.0	0.8773639214720611	0.8773639846564049	-6.318434375707227e-08	0.3333333333333333
spatial_complementary_seed20260914_fold1	spatial_complementary	1	False	0.0	0.0	0.0	0.944519062726402	0.9445190953427806	-3.261637859797162e-08	0.3333333333333341
spatial_complementary_seed20260914_fold2	spatial_complementary	2	False	0.0	-0.0065963552333414555	-0.026385420933365822	0.9320807009505666	0.9320806881592544	1.2791312231641427e-08	0.33333333333333365
spatial_complementary_seed20260914_fold3	spatial_complementary	3	False	0.0	0.0	0.0	0.6964226069440229	0.6964225758743947	3.1069628203539423e-08	0.3333333333333339
spatial_complementary_seed20260914_fold4	spatial_complementary	4	False	0.0	0.0	0.0	0.3785072802689693	0.3785072225011792	5.776779010702171e-08	0.33333333333333404
unrelated_missing_factor_seed20260914_fold0	unrelated_missing_factor	0	False	0.0	-0.02343076467514038	-0.09372305870056152	-0.9410842396819128	-0.9410853705828048	1.1309008920434849e-06	
unrelated_missing_factor_seed20260914_fold1	unrelated_missing_factor	1	False	0.0	0.0	0.0	-1.1147670223289283	-1.1147668443980012	-1.7793092710327585e-07	
unrelated_missing_factor_seed20260914_fold2	unrelated_missing_factor	2	False	0.0	-0.06778432428836823	-0.2711372971534729	0.0589552066927843	0.0589551944069827	1.2285801598288515e-08	
unrelated_missing_factor_seed20260914_fold3	unrelated_missing_factor	3	False	0.0	-0.06026065722107887	-0.2410426288843155	-39.439748150405975	-39.43974028546937	-7.86493660598353e-06	
unrelated_missing_factor_seed20260914_fold4	unrelated_missing_factor	4	False	0.0	0.0	0.0	-16.89583708246915	-16.89583226797216	-4.814496989524741e-06	
