epoch	train_loss	validation_loss	train_reconstruction	train_safety	validation_reconstruction	validation_safety
0	0.13758474588394165	0.13483084738254547	0.07054471224546432	0.13302256166934967	0.06982801854610443	0.12899449467658997
1	0.13053497672080994	0.12785650789737701	0.06696642190217972	0.12609291076660156	0.066280297935009	0.12215455621480942
2	0.12374292314052582	0.12114742398262024	0.06351929157972336	0.11941621452569962	0.06286738812923431	0.11557535827159882
3	0.1172117218375206	0.11469690501689911	0.06020491570234299	0.11299557983875275	0.059585899114608765	0.10925036668777466
4	0.11093364655971527	0.10849902033805847	0.057019367814064026	0.10682344436645508	0.056432757526636124	0.10317379236221313
5	0.10490269213914871	0.10255958139896393	0.05395955219864845	0.10089395940303802	0.05341092124581337	0.09735137224197388
6	0.09912443161010742	0.09688861668109894	0.05102824792265892	0.0952126756310463	0.05052545666694641	0.09179294109344482
7	0.09360837936401367	0.09149093925952911	0.04823024570941925	0.089789018034935	0.04777879640460014	0.08650324493646622
8	0.08835897594690323	0.0863671600818634	0.04556775838136673	0.08462738990783691	0.04517124593257904	0.08148285001516342
9	0.08337660878896713	0.08151393383741379	0.04304094985127449	0.07972820848226547	0.04270109534263611	0.0767284706234932
10	0.07865776121616364	0.07692387700080872	0.040647994726896286	0.07508808374404907	0.040364593267440796	0.07223284244537354
11	0.0741950273513794	0.0725858211517334	0.03838510438799858	0.07069974392652512	0.038156043738126755	0.06798498332500458
12	0.06997736543416977	0.06848575919866562	0.0362466536462307	0.06655237078666687	0.03606833145022392	0.06397116184234619
13	0.06599093973636627	0.06460805982351303	0.034225594252347946	0.06263239681720734	0.03409349173307419	0.060176026076078415
14	0.06222034618258476	0.06093679368495941	0.03231408819556236	0.05892469733953476	0.0322234220802784	0.0565839484333992
15	0.058649979531764984	0.057457052171230316	0.030504198744893074	0.055413950234651566	0.030450541526079178	0.053180284798145294
16	0.05526525899767876	0.05415571853518486	0.02878851816058159	0.05208582431077957	0.028768178075551987	0.049952153116464615
17	0.05205333232879639	0.051021747291088104	0.027160512283444405	0.048927705734968185	0.02717072144150734	0.04688870161771774
18	0.04900349676609039	0.048045992851257324	0.025614749640226364	0.04592904821038246	0.025653529912233353	0.043980930000543594
19	0.04610680043697357	0.045220859348773956	0.024146687239408493	0.04308105632662773	0.024212755262851715	0.041221339255571365
20	0.04335588216781616	0.042539820075035095	0.022752586752176285	0.040376484394073486	0.02284509502351284	0.03860349580645561
21	0.04074444621801376	0.039997074753046036	0.021429255604743958	0.037809114903211594	0.02154761180281639	0.036121658980846405
22	0.038266852498054504	0.03758719190955162	0.02017383649945259	0.03537340462207794	0.020317567512392998	0.033770449459552765
23	0.03591790050268173	0.03530494496226311	0.01898369938135147	0.03306420147418976	0.01915232464671135	0.03154469281435013
24	0.03369257226586342	0.03314513713121414	0.017856299877166748	0.030876556411385536	0.018049264326691628	0.029439235106110573
25	0.0315859392285347	0.03110266663134098	0.0167891476303339	0.028805598616600037	0.017005808651447296	0.027449022978544235
26	0.029593102633953094	0.029172383248806	0.01577976532280445	0.026846488937735558	0.016019362956285477	0.025568952783942223
27	0.027709241956472397	0.027349241077899933	0.014825718477368355	0.024994459003210068	0.01508738286793232	0.023794034495949745
28	0.025929559022188187	0.02562829479575157	0.013924578204751015	0.023244773969054222	0.014207371510565281	0.022119363769888878
29	0.024249419569969177	0.02400478906929493	0.013074005022644997	0.021592846140265465	0.013376929797232151	0.02054024115204811
30	0.022664334625005722	0.022474132478237152	0.012271733954548836	0.020034240558743477	0.01259374339133501	0.01905212178826332
31	0.021170029416680336	0.021032046526670456	0.011515604332089424	0.018564725294709206	0.011855649761855602	0.017650768160820007
32	0.019762475043535233	0.019674506038427353	0.010803580284118652	0.01718032732605934	0.011160622350871563	0.016332201659679413
33	0.018437929451465607	0.018397774547338486	0.010133772157132626	0.015877341851592064	0.010506776161491871	0.015092721208930016
34	0.01719290390610695	0.01719840243458748	0.00950442161411047	0.014652326703071594	0.00989236868917942	0.013928915373980999
35	0.01602417603135109	0.016073202714323997	0.00891389511525631	0.013502088375389576	0.009315794333815575	0.012837624177336693
36	0.014928781427443027	0.015019208192825317	0.008360697887837887	0.01242370717227459	0.008775555528700352	0.011815913952887058
37	0.013903940096497536	0.014033664017915726	0.007843423634767532	0.011414434760808945	0.008270263671875	0.010861054994165897
38	0.0129470806568861	0.01311397273093462	0.0073607685044407845	0.010471734218299389	0.007798608858138323	0.009970476850867271
39	0.012055755592882633	0.012257682159543037	0.0069114952348172665	0.009593192487955093	0.007359352428466082	0.009141750633716583
40	0.011227634735405445	0.011462422087788582	0.00649441871792078	0.00877651758491993	0.006951298099011183	0.008372531272470951
41	0.010460469871759415	0.010725886560976505	0.006108398083597422	0.008019494824111462	0.006573278922587633	0.007660538889467716
42	0.009752028621733189	0.010045814327895641	0.005752296186983585	0.007319937460124493	0.0062241521663963795	0.0070035397075116634
43	0.009100135415792465	0.009421826340258121	0.005425005219876766	0.006675705313682556	0.0059027825482189655	0.006403043866157532
44	0.00850258581340313	0.008875050581991673	0.005125399213284254	0.006084646098315716	0.005608027800917625	0.005903593264520168
45	0.007957164198160172	0.008371630683541298	0.004852345213294029	0.005544586107134819	0.005338748451322317	0.005439751781523228
46	0.007461620960384607	0.007923953235149384	0.004604692570865154	0.005053333006799221	0.005093775223940611	0.005038632545620203
47	0.007013662718236446	0.0075196558609604836	0.004381265491247177	0.004608647432178259	0.004871934652328491	0.004677855875343084
48	0.00661094393581152	0.007149740122258663	0.004180860705673695	0.004208243452012539	0.004672026727348566	0.004341823048889637
49	0.006251076702028513	0.0068124872632324696	0.004002253990620375	0.003849794389680028	0.004492837004363537	0.004029525443911552
50	0.005931618623435497	0.006506161764264107	0.0038441885262727737	0.0035309256054461002	0.0043331328779459	0.003739957232028246
51	0.005650083534419537	0.00622901227325201	0.0037053870037198067	0.003249220084398985	0.004191669635474682	0.0034721032716333866
52	0.005411861930042505	0.005979897454380989	0.0035845530219376087	0.0030180499888956547	0.004067497327923775	0.0032255728729069233
53	0.005209470633417368	0.005756780505180359	0.0034806285984814167	0.002824554918333888	0.0039592040702700615	0.002999118296429515
54	0.005035269074141979	0.005557694938033819	0.003392149694263935	0.002656383439898491	0.003865421749651432	0.002791543258354068
55	0.004886740352958441	0.005382035858929157	0.0033176967408508062	0.002511344151571393	0.0037848243955522776	0.0026042950339615345
56	0.00476143229752779	0.00524645671248436	0.003255886258557439	0.002387299435213208	0.003716131206601858	0.002473243046551943
57	0.0046569835394620895	0.005130547098815441	0.0032053866889327765	0.0022821936290711164	0.0036581142339855433	0.00236002285964787
58	0.004571112804114819	0.0050322143360972404	0.0031649116426706314	0.0021940390579402447	0.003609594190493226	0.002262813737615943
59	0.004501638934016228	0.004949474707245827	0.0031332317739725113	0.0021209330298006535	0.0035694539546966553	0.002179884584620595
60	0.004446487873792648	0.004880452994257212	0.003109180135652423	0.0020610676147043705	0.0035366376396268606	0.0021095983684062958
61	0.0044037033803761005	0.00482338247820735	0.003091654973104596	0.0020127329044044018	0.0035101529210805893	0.002050412120297551
62	0.004371444694697857	0.004776624031364918	0.0030796227511018515	0.0019743212033063173	0.003489079186692834	0.0020008906722068787
63	0.004348007496446371	0.004738659132272005	0.003072126768529415	0.0019443382043391466	0.003472565207630396	0.001959704328328371
64	0.004331822041422129	0.004708100575953722	0.003068287158384919	0.0019214090425521135	0.0034598358906805515	0.0019256327068433166
65	0.00432145781815052	0.004683693405240774	0.0030673062428832054	0.0019042734056711197	0.003450190182775259	0.0018975712591782212
66	0.004315630998462439	0.004664309322834015	0.00306846690364182	0.00189179927110672	0.0034430022351443768	0.0018745213747024536
67	0.004313197918236256	0.004648956470191479	0.0030711349099874496	0.0018829740583896637	0.0034377218689769506	0.0018556017894297838
68	0.00431316252797842	0.004636764992028475	0.0030747600831091404	0.001876911148428917	0.003433871315792203	0.0018400367116555572
69	0.004314667545258999	0.004626989830285311	0.003078870475292206	0.0018728418508544564	0.00343104125931859	0.0018271550070494413
70	0.004316986072808504	0.004619002807885408	0.003083071205765009	0.0018701109802350402	0.0034288926981389523	0.00181638787034899
71	0.004319526255130768	0.004612279124557972	0.0030870423652231693	0.0018681775545701385	0.0034271427430212498	0.0018072531092911959
72	0.0043218107894063	0.004606401082128286	0.003090531099587679	0.0018665980314835906	0.0034255727659910917	0.0017993601504713297
73	0.004323476459830999	0.004601038992404938	0.003093348816037178	0.0018650281708687544	0.003424011869356036	0.0017923954874277115
