epoch	train_loss	validation_loss	train_reconstruction	train_safety	train_attribution	validation_reconstruction	validation_safety	validation_attribution
0	1.4245880842208862	1.390956997871399	0.320774108171463	0.6325494050979614	1.0397206544876099	0.2915208637714386	0.5890775918960571	1.0397206544876099
1	1.3957480192184448	1.3637409210205078	0.2967156171798706	0.5849617719650269	1.0397206544876099	0.26887258887290955	0.5436049699783325	1.0397225618362427
2	1.368067741394043	1.338073968887329	0.2736152708530426	0.5393746495246887	1.039722204208374	0.24751099944114685	0.5007399320602417	1.03972589969635
3	1.341981291770935	1.3144451379776	0.25184109807014465	0.49644264578819275	1.0397255420684814	0.2278473824262619	0.46125587821006775	1.039730429649353
4	1.3179779052734375	1.2932192087173462	0.23180517554283142	0.456937700510025	1.0397300720214844	0.2101859599351883	0.4257585406303406	1.0397356748580933
5	1.29642653465271	1.274442195892334	0.21381692588329315	0.42145633697509766	1.039735198020935	0.19456443190574646	0.3943299651145935	1.0397415161132812
6	1.2773689031600952	1.2578414678573608	0.1979113519191742	0.39006513357162476	1.0397409200668335	0.18075522780418396	0.36651986837387085	1.0397480726242065
7	1.260522484779358	1.243113398551941	0.18385209143161774	0.36230045557022095	1.0397473573684692	0.16850529611110687	0.34182512760162354	1.03975510597229
8	1.2455754280090332	1.2299480438232422	0.17137883603572845	0.33765244483947754	1.0397541522979736	0.15755636990070343	0.31973081827163696	1.0397626161575317
9	1.2322111129760742	1.2180039882659912	0.16022682189941406	0.31560131907463074	1.0397616624832153	0.14762404561042786	0.29966771602630615	1.0397709608078003
10	1.220081090927124	1.2069462537765503	0.15010501444339752	0.2955746054649353	1.0397700071334839	0.1384289413690567	0.2810744345188141	1.0397807359695435
11	1.2088444232940674	1.1965053081512451	0.1407284289598465	0.27701038122177124	1.039779543876648	0.12974673509597778	0.26349949836730957	1.0397924184799194
12	1.198227882385254	1.1865122318267822	0.13186882436275482	0.2594580054283142	1.0397908687591553	0.12143667787313461	0.24665872752666473	1.0398062467575073
13	1.1880617141723633	1.1768968105316162	0.12338385730981827	0.24263589084148407	1.0398046970367432	0.1134396493434906	0.23043259978294373	1.039823293685913
14	1.1782748699188232	1.1676595211029053	0.11521423608064651	0.22642669081687927	1.0398213863372803	0.10575571656227112	0.21482130885124207	1.0398437976837158
15	1.1688697338104248	1.1588400602340698	0.10736113041639328	0.21083268523216248	1.039841651916504	0.09841737151145935	0.19989092648029327	1.0398684740066528
16	1.159887433052063	1.1504892110824585	0.09985857456922531	0.1959216147661209	1.0398658514022827	0.091466523706913	0.18572726845741272	1.0398974418640137
17	1.1513808965682983	1.142650842666626	0.09275016188621521	0.18178033828735352	1.0398945808410645	0.08493892103433609	0.17240417003631592	1.039931297302246
18	1.143395185470581	1.1353497505187988	0.08607303351163864	0.16848334670066833	1.0399281978607178	0.07885488122701645	0.15996451675891876	1.0399702787399292
19	1.135956048965454	1.1285879611968994	0.0798485055565834	0.15607398748397827	1.0399668216705322	0.07321581244468689	0.1484130173921585	1.040014386177063
20	1.1290663480758667	1.1223455667495728	0.07407848536968231	0.14455726742744446	1.0400105714797974	0.06800493597984314	0.1377173811197281	1.0400638580322266
21	1.1227060556411743	1.1165870428085327	0.06874627619981766	0.13390104472637177	1.0400595664978027	0.06319266557693481	0.12781888246536255	1.0401183366775513
22	1.1168391704559326	1.1112861633300781	0.06382185965776443	0.12404666095972061	1.0401136875152588	0.05875737965106964	0.11867515742778778	1.040177822113037
23	1.1114394664764404	1.106407880783081	0.05928336828947067	0.11495165526866913	1.0401726961135864	0.054669760167598724	0.1102278009057045	1.040242075920105
24	1.1064709424972534	1.1019160747528076	0.055100854486227036	0.10655729472637177	1.040236473083496	0.05090009793639183	0.10241734981536865	1.0403109788894653
25	1.101897120475769	1.097779631614685	0.05124395340681076	0.09880378097295761	1.0403050184249878	0.04742235317826271	0.09519164264202118	1.0403845310211182
26	1.0976855754852295	1.0939726829528809	0.04768586903810501	0.0916384682059288	1.0403778553009033	0.044215280562639236	0.08850828558206558	1.0404623746871948
27	1.0938106775283813	1.0904755592346191	0.04440480098128319	0.08501845598220825	1.0404554605484009	0.041262198239564896	0.08233417570590973	1.040544867515564
28	1.0902513265609741	1.0872719287872314	0.041383497416973114	0.07891000807285309	1.0405374765396118	0.03854953870177269	0.07664268463850021	1.040631890296936
29	1.0869909524917603	1.0843478441238403	0.03860800340771675	0.0732860192656517	1.0406240224838257	0.03606567531824112	0.07141120731830597	1.040723443031311
30	1.0840152502059937	1.0816900730133057	0.03606630861759186	0.0681232362985611	1.040714979171753	0.03379969671368599	0.0666186660528183	1.0408192873001099
31	1.081310510635376	1.0792853832244873	0.03374718502163887	0.06340007483959198	1.0408101081848145	0.0317406952381134	0.06224404647946358	1.0409190654754639
32	1.0788636207580566	1.0771205425262451	0.031639426946640015	0.05909496545791626	1.0409096479415894	0.02987738512456417	0.058265555649995804	1.0410231351852417
33	1.0766602754592896	1.0751807689666748	0.029731471091508865	0.05518565699458122	1.0410130023956299	0.028197981417179108	0.05466029793024063	1.041130781173706
34	1.0746859312057495	1.0734511613845825	0.028011277318000793	0.05164892226457596	1.0411200523376465	0.026690324768424034	0.05140461400151253	1.0412415266036987
35	1.072925329208374	1.0719164609909058	0.02646642178297043	0.048460714519023895	1.041230320930481	0.025342067703604698	0.04847434163093567	1.041355013847351
36	1.0713629722595215	1.0705615282058716	0.02508431114256382	0.04559661075472832	1.0413434505462646	0.02414090745151043	0.04584534838795662	1.0414706468582153
37	1.0699831247329712	1.069370985031128	0.023852406069636345	0.04303225129842758	1.0414584875106812	0.02307480201125145	0.043493907898664474	1.0415875911712646
38	1.068770408630371	1.06833016872406	0.022758426144719124	0.04074372351169586	1.0415749549865723	0.022132085636258125	0.04139704629778862	1.0417051315307617
39	1.0677099227905273	1.0674245357513428	0.021790511906147003	0.0387079194188118	1.0416918992996216	0.021301668137311935	0.0395328514277935	1.0418219566345215
40	1.0667870044708252	1.0666406154632568	0.020937347784638405	0.03690275177359581	1.0418083667755127	0.02057301253080368	0.03788045048713684	1.0419373512268066
41	1.0659878253936768	1.0659654140472412	0.02018822357058525	0.03530731797218323	1.0419232845306396	0.01993623562157154	0.0364203080534935	1.0420500040054321
42	1.065299153327942	1.0653865337371826	0.0195330698043108	0.033901941031217575	1.042035460472107	0.019382070749998093	0.03513403981924057	1.0421587228775024
43	1.0647087097167969	1.0648925304412842	0.01896245777606964	0.03266819566488266	1.0421438217163086	0.018901890143752098	0.034004513174295425	1.042262315750122
44	1.064204454421997	1.0644724369049072	0.018467599526047707	0.03158888220787048	1.04224693775177	0.018487658351659775	0.03301577642560005	1.0423595905303955
45	1.0637757778167725	1.06411612033844	0.018040310591459274	0.03064798191189766	1.0423438549041748	0.018131937831640244	0.03215299919247627	1.0424492359161377
46	1.0634119510650635	1.063814401626587	0.017673015594482422	0.02983064576983452	1.0424331426620483	0.017827870324254036	0.031402502208948135	1.0425304174423218
47	1.0631041526794434	1.06355881690979	0.017358724027872086	0.029123147949576378	1.0425140857696533	0.017569132149219513	0.030751636251807213	1.0426021814346313
48	1.0628433227539062	1.063341736793518	0.017090994864702225	0.02851283550262451	1.0425856113433838	0.017349952831864357	0.0301887895911932	1.042663812637329
49	1.0626217126846313	1.0631558895111084	0.01686394214630127	0.027988087385892868	1.0426467657089233	0.017165087163448334	0.029703393578529358	1.0427143573760986
50	1.0624324083328247	1.062995433807373	0.01667221635580063	0.027538340538740158	1.0426971912384033	0.017009802162647247	0.029285822063684464	1.0427536964416504
51	1.0622689723968506	1.0628550052642822	0.0165109746158123	0.02715398743748665	1.042736291885376	0.01687985472381115	0.028927404433488846	1.0427817106246948
52	1.0621261596679688	1.062730073928833	0.01637588068842888	0.026826392859220505	1.0427639484405518	0.016771454364061356	0.02862035296857357	1.0427981615066528
53	1.0619993209838867	1.0626164674758911	0.016263075172901154	0.02654782310128212	1.0427801609039307	0.016681285575032234	0.028357764706015587	1.042803168296814
54	1.0618844032287598	1.0625110864639282	0.016169143840670586	0.026311416178941727	1.0427849292755127	0.01660642959177494	0.028133511543273926	1.0427970886230469
55	1.06177818775177	1.0624114274978638	0.016091106459498405	0.026111120358109474	1.0427788496017456	0.01654435694217682	0.027942225337028503	1.0427803993225098
56	1.0616779327392578	1.062315583229065	0.016026364639401436	0.025941645726561546	1.042762041091919	0.016492903232574463	0.027779242023825645	1.0427539348602295
57	1.0615814924240112	1.062221646308899	0.015972699970006943	0.02579839900135994	1.04273521900177	0.01645021140575409	0.02764049731194973	1.0427179336547852
58	1.0614873170852661	1.0621284246444702	0.015928201377391815	0.02567741647362709	1.0426990985870361	0.016414722427725792	0.027522504329681396	1.0426733493804932
59	1.061394214630127	1.062035322189331	0.015891259536147118	0.0255753044039011	1.0426545143127441	0.016385134309530258	0.027422290295362473	1.0426210165023804
60	1.061301350593567	1.0619416236877441	0.015860531479120255	0.02548917755484581	1.0426020622253418	0.01636035554111004	0.027337312698364258	1.0425615310668945
61	1.061207890510559	1.06184720993042	0.01583489030599594	0.025416607037186623	1.042542576789856	0.01633949764072895	0.027265405282378197	1.0424960851669312
62	1.0611138343811035	1.0617519617080688	0.015813417732715607	0.025355536490678787	1.042477011680603	0.01632183976471424	0.02720477245748043	1.042425274848938
63	1.0610190629959106	1.0616556406021118	0.015795359387993813	0.02530425228178501	1.0424060821533203	0.016306793317198753	0.027153873816132545	1.0423498153686523
64	1.0609233379364014	1.0615586042404175	0.01578010618686676	0.025261323899030685	1.0423306226730347	0.01629389077425003	0.027111420407891273	1.0422704219818115
65	1.0608270168304443	1.0614612102508545	0.0157671719789505	0.025225579738616943	1.0422513484954834	0.016282768920063972	0.027076328173279762	1.042188048362732
66	1.0607303380966187	1.0613635778427124	0.015756161883473396	0.025196027010679245	1.0421689748764038	0.01627313159406185	0.02704768255352974	1.0421032905578613
67	1.0606334209442139	1.0612660646438599	0.015746766701340675	0.02517184615135193	1.0420842170715332	0.01626475155353546	0.027024690061807632	1.0420167446136475
68	1.0605366230010986	1.061169147491455	0.015738753601908684	0.025152355432510376	1.0419976711273193	0.016257449984550476	0.027006691321730614	1.041929006576538
69	1.0604403018951416	1.061072826385498	0.015731925144791603	0.025136973708868027	1.04190993309021	0.01625109277665615	0.026993101462721825	1.0418405532836914
70	1.0603448152542114	1.0609774589538574	0.015726128593087196	0.025125224143266678	1.0418214797973633	0.016245568171143532	0.02698340080678463	1.041751742362976
71	1.0602502822875977	1.0608835220336914	0.015721244737505913	0.02511666715145111	1.0417327880859375	0.01624077558517456	0.026977118104696274	1.0416632890701294
72	1.0601571798324585	1.060791254043579	0.015717169269919395	0.02511093020439148	1.0416443347930908	0.016236644238233566	0.026973824948072433	1.0415754318237305
73	1.0600656270980835	1.0607006549835205	0.01571381464600563	0.025107666850090027	1.0415563583374023	0.01623310148715973	0.026973113417625427	1.0414882898330688
74	1.0599759817123413	1.0606120824813843	0.0157111007720232	0.025106554850935936	1.0414694547653198	0.016230076551437378	0.026974599808454514	1.0414024591445923
75	1.0598881244659424	1.0605255365371704	0.01570894941687584	0.02510727569460869	1.0413835048675537	0.01622750423848629	0.02697790041565895	1.0413180589675903
